2013 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance",,,,Member Experience with Drug Plan,,,Patient Safety and Accuracy of Drug Pricing ,,,,,
H3755,Local CCP,"COMMUNITY CARE HMO, INC",CommunityCare Senior Health Plan (HMO),"CommunityCare Managed Healthcare Plans of OK, Inc.",0:13,90%,CMS identified issues with plan’s data,Not enough data available,97%,0.14,100,2%,Medicare shows only a star rating for this topic,Not enough data available,87%,95%,96,12.00%,85.50%,72.10%,73.90%,68.00%
H3805,Local CCP,"UNITEDHEALTHCARE OF OREGON, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,0,Not enough data available,95%,0.2,0,9%,Medicare shows only a star rating for this topic,Not enough data available,84%,92%,99,7.20%,81.80%,79.50%,79.30%,77.00%
H3810,Local CCP,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,CareSource,Mid Rogue Community Health Plan,0:08,91%,6.2,Not enough data available,97%,0,80,8%,Medicare shows only a star rating for this topic,Not enough data available,86%,94%,99,12.10%,81.60%,77.50%,77.70%,74.00%
H3811,Local CCP,"SAMARITAN HEALTH PLANS, INC.",Samaritan Advantage Health Plan,Samaritan Health Services,0:14,84%,4.2,Not enough data available,90%,0.06,100,4%,Medicare shows only a star rating for this topic,89%,86%,93%,98,8.90%,85.00%,76.90%,78.70%,78.00%
H3812,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,90%,0.7,Not enough data available,96%,0.4,0,10%,Medicare shows only a star rating for this topic,Not enough data available,82%,92%,99,6.50%,84.60%,74.50%,76.10%,72.90%
H3813,Local CCP,"ODS HEALTH PLAN, INC.","ODS Health Plan, Inc.","Health Services Group, Inc.",0:10,96%,1.6,Not enough data available,94%,0.09,80,2%,Medicare shows only a star rating for this topic,85%,85%,94%,98,8.50%,89.60%,81.60%,85.00%,81.60%
H3814,Local CCP,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,0:08,90%,0,Not enough data available,Not enough data available,0,100,3%,Medicare shows only a star rating for this topic,Not enough data available,87%,95%,99,14.10%,81.60%,71.20%,72.40%,74.50%
H3815,Local CCP,CITIZENS CHOICE HEALTHPLAN,Citizens Choice Healthplan,Honored Citizens Choice Health Plan,0:19,20%,0,54%,99%,0.22,80,31%,Medicare shows only a star rating for this topic,82%,88%,89%,99,8.90%,90.80%,70.70%,70.10%,62.90%
H3817,Local CCP,REGENCE BLUECROSS BLUESHIELD OF OR,Regence BlueCross BlueShield of Oregon,"Cambia Health Solutions, Inc.",0:01,95%,CMS identified issues with plan’s data,88%,95%,0.06,60,3%,Medicare shows only a star rating for this topic,88%,85%,92%,99,9.10%,83.00%,79.10%,79.90%,77.40%
H3818,Local CCP,"FAMILYCARE HEALTH PLANS, INC.","FamilyCare Health Plans, Inc.",FamilyCare Incorporated,0:19,90%,0,Not enough data available,Not enough data available,0.18,80,15%,Medicare shows only a star rating for this topic,Not enough data available,81%,90%,97,8.80%,82.10%,75.40%,71.50%,72.30%
H3822,Local CCP,HEALTH CARE SERVICE CORPORATION,"Blue Cross Blue Shield of IL, NM",Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3832,Local CCP,HAWAII MEDICAL SERVICE ASSOCIATION,Akamai Advantage by HMSA,Hawaii Medical Service Association,0:15,88%,Not enough data available,Not enough data available,98%,0.07,80,3%,Not enough data available,Not enough data available,85%,90%,99,3.90%,88.40%,82.30%,77.10%,73.10%
H3864,Local CCP,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Medicare,PacificSource Health Plans,0:09,80%,16.9,Not enough data available,96%,0.12,80,3%,Medicare shows only a star rating for this topic,Not enough data available,86%,93%,93,6.90%,84.60%,75.50%,77.30%,75.40%
H3887,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,90%,0,Not enough data available,96%,0.61,0,11%,Medicare shows only a star rating for this topic,Not enough data available,79%,90%,99,4.10%,84.40%,68.50%,69.40%,62.50%
H3907,Local CCP,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,UPMC Health Plan,University of Pittsburgh Medical Center,0:13,94%,0.7,Not enough data available,94%,0.07,100,6%,Medicare shows only a star rating for this topic,85%,85%,94%,98,6.10%,80.20%,76.50%,72.40%,72.70%
H3909,Local CCP,QCC INSURANCE COMPANY,Personal Choice 65,Independence Blue Cross,0:15,89%,0,Not enough data available,93%,0.24,80,5%,Medicare shows only a star rating for this topic,Not enough data available,83%,91%,96,5.80%,79.10%,80.80%,80.90%,76.70%
H3912,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,87%,0,Not enough data available,Not enough data available,0.32,0,1%,Medicare shows only a star rating for this topic,Not enough data available,Not enough data available,Not enough data available,99,7.80%,69.60%,76.90%,79.10%,76.70%
H3916,Local CCP,"HIGHMARK, INC.","Highmark, Inc.",Highmark Inc.,0:11,89%,CMS identified issues with plan’s data,73%,98%,0.18,100,5%,Medicare shows only a star rating for this topic,88%,85%,93%,99,5.60%,81.00%,79.10%,79.60%,75.40%
H3920,Local CCP,"UNITEDHEALTHCARE OF PENNSYLVANIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,93%,CMS identified issues with plan’s data,50%,66%,0.55,12,14%,Medicare shows only a star rating for this topic,Not enough data available,85%,91%,99,7.60%,83.10%,71.90%,69.30%,67.30%
H3921,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,0,Not enough data available,96%,0.52,0,16%,Medicare shows only a star rating for this topic,85%,83%,91%,99,5.50%,79.70%,75.10%,75.60%,70.00%
H3923,Local CCP,CAPITAL ADVANTAGE INSURANCE COMPANY,Capital Advantage Insurance Company,Capital BlueCross,0:28,94%,3.5,53%,96%,0.29,100,4%,Medicare shows only a star rating for this topic,84%,84%,93%,94,5.80%,80.90%,82.30%,82.10%,75.60%
H3924,Local CCP,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Gold,Geisinger Health System,0:04,95%,0,Not enough data available,97%,0.34,80,11%,Medicare shows only a star rating for this topic,Not enough data available,84%,92%,99,4.70%,81.90%,78.00%,79.30%,73.70%
H3931,Local CCP,"AETNA HEALTH, INC, (PA)",Aetna Medicare,Aetna Inc.,0:47,89%,2.7,63%,89%,0.22,40,12%,Medicare shows only a star rating for this topic,80%,81%,90%,98,2.60%,81.50%,76.80%,78.30%,72.80%
H3949,Local CCP,BRAVO HEALTH PENNSYLVANIA INC.,Bravo Health,CIGNA,0:36,80%,1,67%,95%,0.51,80,7%,Medicare shows only a star rating for this topic,81%,83%,90%,99,5.50%,83.70%,70.70%,69.60%,64.40%
H3952,Local CCP,"KEYSTONE HEALTH PLAN EAST, INC.",Keystone 65,Independence Blue Cross,0:15,89%,0.2,80%,90%,0.24,80,6%,Medicare shows only a star rating for this topic,Not enough data available,83%,92%,97,5.20%,79.80%,78.60%,80.50%,74.50%
H3954,Local CCP,GEISINGER HEALTH PLAN,Geisinger Gold,Geisinger Health System,0:04,95%,0,Not enough data available,96%,0.15,80,3%,Medicare shows only a star rating for this topic,Not enough data available,88%,94%,99,5.50%,80.10%,81.90%,80.40%,75.60%
H3957,Local CCP,"KEYSTONE HEALTH PLAN WEST, INC.","Keystone Health Plan West, Inc.",Highmark Inc.,0:11,89%,0.6,63%,99%,0.13,100,5%,Medicare shows only a star rating for this topic,87%,85%,93%,99,5.50%,78.40%,78.40%,78.10%,74.50%
H3959,Local CCP,"HEALTHAMERICA PENNSYLVANIA, INC.",HealthAmerica,Coventry Health Care Inc.,0:11,89%,18.5,Not enough data available,96%,0.18,40,5%,Medicare shows only a star rating for this topic,86%,88%,94%,99,4.40%,75.10%,76.50%,76.80%,74.40%
H3962,Local CCP,"KEYSTONE HEALTH PLAN CENTRAL,INC.","Keystone Health Plan Central, Inc.",Capital BlueCross,0:28,94%,3.6,50%,96%,0.12,100,5%,Medicare shows only a star rating for this topic,86%,87%,93%,94,6.10%,79.50%,83.00%,81.50%,76.40%
H3964,Local CCP,"BRAVO HEALTH PENNSYLVANIA, INC.",Bravo Health,CIGNA,0:36,80%,0,Not enough data available,84%,0.24,80,5%,Medicare shows only a star rating for this topic,Not enough data available,83%,90%,99,8.80%,85.90%,67.80%,65.50%,60.50%
H4003,Local CCP,"MMM HEALTHCARE, INC.",Medicare y Mucho Más,Aveta Inc.,0:13,86%,2.6,38%,95%,0.17,80,10%,Medicare shows only a star rating for this topic,Not enough data available,92%,90%,94,4.90%,89.70%,58.60%,58.70%,41.20%
H4004,Local CCP,"PREFERRED MEDICARE CHOICE, INC.","Preferred Medicare Choice, Inc.",Aveta Inc.,0:13,84%,1.1,Not enough data available,94%,0.1,80,16%,Medicare shows only a star rating for this topic,Not enough data available,94%,88%,95,8.10%,89.30%,61.50%,61.50%,42.10%
H4005,Local CCP,"TRIPLE-S SALUD,  INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,0:49,64%,0,Not enough data available,83%,0.84,40,30%,Medicare shows only a star rating for this topic,Not enough data available,83%,87%,98,7.80%,89.00%,60.90%,64.50%,40.20%
H4006,Local CCP,MCS ADVANTAGE INC.,MCS Classicare,"Medical Card System, Inc.",0:09,76%,CMS identified issues with plan’s data,64%,86%,0.22,27,16%,Medicare shows only a star rating for this topic,80%,85%,88%,97,8.60%,89.50%,54.40%,58.70%,37.40%
H4007,Local CCP,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.","HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,0:11,86%,1.8,Not enough data available,95%,0.35,47,26%,Medicare shows only a star rating for this topic,Not enough data available,93%,90%,98,11.00%,89.20%,60.80%,60.70%,45.70%
H4011,Local CCP,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",0:45,66%,CMS identified issues with plan’s data,Not enough data available,81%,0.3,3,4%,Medicare shows only a star rating for this topic,82%,85%,86%,99,9.40%,91.10%,58.30%,60.70%,33.20%
H4012,Local CCP,"TRIPLE-S SALUD, INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,0:49,64%,0,Not enough data available,Not enough data available,0.58,80,30%,Medicare shows only a star rating for this topic,Not enough data available,91%,90%,98,12.10%,90.50%,64.00%,62.30%,43.60%
H4036,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:06,64%,6.9,Not enough data available,93%,0.42,47,6%,Medicare shows only a star rating for this topic,84%,88%,91%,96,5.40%,84.20%,80.60%,83.10%,74.80%
H4102,Local CCP,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,2.8,Not enough data available,96%,0.19,0,2%,Medicare shows only a star rating for this topic,Not enough data available,84%,93%,99,5.30%,82.90%,78.30%,80.20%,71.70%
H4123,Local CCP,MERCYCARE HMO INC,MercyCare Health Plans,"Mercy Alliance, Inc.",1:11,86%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H4125,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Arcadian Health Plan,Humana Inc.,0:20,59%,7.1,Not enough data available,100%,0.12,80,8%,Medicare shows only a star rating for this topic,89%,86%,93%,Not enough data available,10.80%,86.10%,68.20%,71.20%,63.60%
H4141,Local CCP,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.","Humana Employers Health Plan of Georgia, Inc.",Humana Inc.,0:11,97%,0,Not enough data available,95%,0.52,47,16%,Medicare shows only a star rating for this topic,84%,86%,91%,98,5.90%,84.40%,68.10%,69.10%,67.70%
H4152,Local CCP,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield of Rhode Island,0:24,20%,8.2,33%,90%,0.05,80,4%,Medicare shows only a star rating for this topic,83%,82%,91%,98,5.30%,82.20%,77.30%,79.30%,69.90%
H4155,Local CCP,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,JMH Health Plan,Public Health Trust of Miami-Dade County,0:11,28%,0,Not enough data available,100%,0.65,60,28%,Medicare shows only a star rating for this topic,Not enough data available,87%,91%,99,6.20%,89.00%,69.10%,67.30%,56.00%
H4199,Local CCP,"FLORIDA HEALTHCARE PLUS, INC.",FLORIDA HEALTHCARE PLUS,"Florida Healthcare Plus, Inc.",0:09,10%,Not enough data available,Not enough data available,92%,4.11,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H4209,Local CCP,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),0:28,64%,CMS identified issues with plan’s data,55%,87%,0.41,33,17%,Medicare shows only a star rating for this topic,81%,82%,92%,99,8.60%,81.80%,69.60%,67.80%,60.90%
H4211,Local CCP,"AMERIGROUP GEORGIA MANAGED CARE COMPANY, INC.",Amerigroup Community Care,AMERIGROUP Corporation,0:17,75%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H4213,PFFS,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,0:25,95%,7.5,50%,94%,0.38,80,11%,Medicare shows only a star rating for this topic,Not enough data available,80%,91%,99,9.10%,82.60%,74.70%,72.40%,66.60%
H4227,Local CCP,"VISTA HEALTH PLAN, INC.",Vista Medicare Advantage,Independence Blue Cross,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4268,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",America's 1st Choice Insurance Company of NC,"America's 1st Choice Holdings of N.C., LLC",0:12,93%,0,Not enough data available,Not enough data available,0.29,100,29%,Not enough data available,78%,81%,88%,99,5.80%,84.60%,72.10%,71.60%,65.80%
H4270,Local CCP,"UCARE WISCONSIN, INC.",UCare,UCare Minnesota,0:12,91%,0,Not enough data available,94%,0.14,100,9%,Medicare shows only a star rating for this topic,88%,83%,94%,98,3.50%,80.60%,84.10%,82.90%,80.70%
H4279,Local CCP,"UPMC FOR YOU, INC",UPMC for You,University of Pittsburgh Medical Center,0:13,94%,Not enough data available,Not enough data available,Not enough data available,0.08,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H4346,Local CCP,CAREMORE HEALTH PLAN OF NEVADA,CareMore Health Plan of Nevada,"WellPoint, Inc.",0:10,96%,0,Not enough data available,93%,0.87,80,13%,Medicare shows only a star rating for this topic,83%,86%,91%,99,5.10%,89.00%,73.20%,72.80%,66.50%
H4406,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,4.1,Not enough data available,96%,0.77,0,16%,Medicare shows only a star rating for this topic,Not enough data available,86%,91%,99,9.00%,84.40%,63.40%,66.10%,60.80%
H4407,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.",HealthSpring,CIGNA,0:32,84%,0,Not enough data available,90%,0.83,80,10%,Medicare shows only a star rating for this topic,Not enough data available,87%,93%,99,13.80%,84.20%,69.20%,67.90%,60.40%
H4408,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0,Not enough data available,96%,0.44,67,15%,Medicare shows only a star rating for this topic,81%,84%,91%,97,11.30%,84.10%,76.30%,74.30%,70.10%
H4454,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.",HealthSpring,CIGNA,0:32,76%,0.6,50%,93%,0.29,80,9%,Medicare shows only a star rating for this topic,84%,86%,93%,99,11.10%,85.40%,71.70%,72.80%,66.40%
H4456,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,0.6,80%,96%,0.38,12,13%,Medicare shows only a star rating for this topic,81%,83%,94%,99,8.50%,83.90%,73.60%,74.50%,68.60%
H4461,Local CCP,"CARITEN HEALTH PLAN, INC.","Cariten Health Plan, Inc.",Humana Inc.,0:11,97%,CMS identified issues with plan’s data,73%,96%,0.33,67,4%,Medicare shows only a star rating for this topic,85%,86%,92%,98,11.90%,82.30%,76.80%,76.60%,70.20%
H4506,Local CCP,"SELECTCARE OF TEXAS, INC.",Universal American Corp.,Universal American Corp.,0:25,91%,0.9,Not enough data available,96%,0.18,100,6%,Medicare shows only a star rating for this topic,Not enough data available,90%,92%,Not enough data available,9.20%,87.10%,72.90%,73.20%,69.10%
