Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,Part D,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy- DMC10,Access,,,Call Center,,,Drug Pricing and Patient Safety,,,Plan Finder
H3384,HEALTHNOW NEW YORK INC,HealthNow New York Inc.,Local CCP,79%,50%,47%,86%,91%,78%,39%,90%,1:02,97%,66.67%,100.00%,2.89%,0.00%,1:02,87.00%,7.4%,1.0%,86.20%,92.31%
H3387,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,83%,Not enough data available to calculate measure,Not enough data available to calculate measure,87%,60%,Not enough data available to calculate measure,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,2.7%,0.2%,99.70%,100.00%
H3388,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.","Capital District Physicians' Health Plan, Inc.",Local CCP,83%,77%,65%,97%,93%,78%,40%,91%,0:16,95%,Not measured,Not measured,65.38%,0.00%,0:25,93.00%,6.2%,0.8%,99.70%,100.00%
H3404,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Local CCP,85%,87%,43%,Not enough data available to calculate measure,91%,84%,Not enough data available to calculate measure,90%,0:19,97%,100.00%,Not measured,100.00%,0.82%,0:19,82.00%,7.8%,1.9%,99.30%,100.00%
H3405,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,44%,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,72%,Not enough data available to calculate measure,89%,0:47,96%,0.00%,Not measured,98.61%,3.49%,0:47,96.00%,6.1%,1.5%,99.90%,92.31%
H3410,STERLING LIFE INSURANCE COMPANY,Munich American Holding Corporation,PFFS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,66.67%,1.36%,1:29,72.00%,Not measured,Not measured,99.70%,100.00%
H3421,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.",PFFS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,100.00%,100.00%,1.82%,0:17,85.00%,Not measured,Not measured,99.90%,100.00%
H3449,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Local CCP,86%,87%,50%,79%,94%,79%,38%,92%,0:13,97%,100.00%,100.00%,100.00%,0.00%,0:13,82.00%,7.5%,1.3%,99.60%,100.00%
H3456,"UNITEDHEALTHCARE OF NORTH CAROLINA, INC.","UnitedHealth Group, Inc.",Local CCP,64%,88%,47%,82%,93%,73%,33%,89%,0:29,95%,80.00%,100.00%,100.00%,1.25%,0:29,86.00%,6.9%,1.5%,99.20%,100.00%
H3503,HEART OF AMERICA HEALTH PLAN,Heart of America Health Plan,1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H3528,"CONNECTICARE, INC.","EmblemHealth, Inc.",Local CCP,74%,78%,66%,81%,92%,76%,53%,90%,0:39,96%,Not measured,Not measured,97.70%,1.63%,0:39,89.00%,5.2%,1.6%,99.90%,100.00%
H3533,"ARCADIAN HEALTH PLAN OF NEW YORK, INC.",Arcadian Management Services Inc.,Local CCP,Not enough data available to calculate measure,80%,Not enough data available to calculate measure,Not enough data available to calculate measure,94%,Not enough data available to calculate measure,Not enough data available to calculate measure,87%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.1%,2.4%,100.00%,100.00%
H3597,AETNA HEALTH,Aetna Inc.,Local CCP,Not enough data available to calculate measure,78%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,87%,Not enough data available to calculate measure,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.0%,2.0%,99.90%,100.00%
H3619,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,52%,97%,63%,90%,89%,72%,25%,92%,0:47,96%,100.00%,100.00%,96.26%,3.49%,0:47,96.00%,7.4%,1.0%,99.90%,92.31%
H3620,MCKINLEY LIFE INSURANCE COMPANY,Aultman Health Foundation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,90%,0:34,97%,Not measured,Not measured,Not measured,0.00%,0:34,78.00%,9.1%,1.1%,98.80%,100.00%
H3623,"AETNA HEALTH,  INC.",Aetna Inc.,Local CCP,Not enough data available to calculate measure,78%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,73%,29%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.4%,1.5%,99.80%,100.00%
H3653,"PARAMOUNT CARE, INC",Promedica Health System,Local CCP,63%,80%,52%,94%,88%,77%,40%,90%,0:29,99%,Not measured,Not measured,70.00%,0.61%,0:29,86.00%,7.1%,1.4%,99.60%,100.00%
H3655,COMMUNITY INSURANCE COMPANY,"WellPoint, Inc.",Local CCP,69%,86%,41%,78%,92%,72%,30%,89%,0:13,86%,100.00%,50.00%,98.21%,0.58%,0:13,68.00%,7.2%,1.1%,99.70%,100.00%
H3659,"UNITEDHEALTHCARE OF OHIO, INC.","UnitedHealth Group, Inc.",Local CCP,53%,88%,55%,80%,90%,66%,29%,90%,0:29,95%,100.00%,Not measured,100.00%,1.25%,0:29,86.00%,7.6%,1.3%,98.90%,100.00%
H3660,SUMMACARE INC.,Summa Health System,Local CCP,68%,74%,66%,93%,91%,74%,35%,92%,0:24,96%,100.00%,50.00%,70.94%,0.00%,0:24,85.00%,8.0%,1.2%,89.50%,100.00%
H3664,MCKINLEY LIFE INSURANCE COMPANY,Aultman Health Foundation,Local CCP,67%,84%,50%,87%,94%,78%,34%,92%,0:34,97%,Not measured,Not measured,100.00%,0.00%,0:34,78.00%,7.5%,1.6%,99.60%,100.00%
H3668,"MT. CARMEL HEALTH PLAN, INC.",Trinity Health,Local CCP,61%,73%,48%,90%,90%,74%,32%,92%,0:09,95%,100.00%,100.00%,75.00%,0.00%,0:09,93.00%,7.1%,1.2%,98.70%,100.00%
H3672,HOMETOWN HEALTH PLAN,Health Plan of the Upper Ohio Valley,Local CCP,Not enough data available to calculate measure,98%,56%,Not enough data available to calculate measure,86%,74%,44%,91%,0:02,98%,Not measured,Not measured,Not measured,0.00%,0:02,91.00%,9.1%,0.3%,98.70%,100.00%
H3706,"TODAYS OPTIONS OF OKLAHOMA, INC.",Universal American Corp.,Local CCP,18%,98%,44%,79%,89%,63%,22%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,100.00%,Not measured,Not measured,Not measured,8.8%,1.6%,98.50%,100.00%
H3708,"SELECTCARE OF OKLAHOMA, INC.",Universal American Corp.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,22.8%,2.8%,99.90%,100.00%
H3749,"UNITEDHEALTHCARE OF OKLAHOMA, INC.","UnitedHealth Group, Inc.",Local CCP,52%,88%,53%,76%,92%,72%,32%,89%,0:34,95%,Not measured,Not measured,100.00%,0.42%,0:34,86.00%,8.8%,2.1%,99.30%,100.00%
H3755,"COMMUNITY CARE HMO, INC","CommunityCare Managed Healthcare Plans of OK, Inc.",Local CCP,80%,0 - Plan elected not to report data,47%,80%,73%,76%,29%,89%,0:25,93%,Not measured,Not measured,100.00%,2.00%,0:25,83.00%,8.6%,1.6%,99.50%,100.00%
H3805,"UNITEDHEALTHCARE OF OREGON, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,60%,77%,93%,70%,29%,92%,0:43,95%,50.00%,Not measured,100.00%,0.47%,0:43,86.00%,6.0%,1.0%,98.70%,100.00%
H3810,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,Mid Rogue Community Health Plan,Local CCP,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,94%,79%,44%,90%,0:15,97%,Not measured,Not measured,63.64%,0.00%,0:15,91.00%,8.8%,2.7%,99.50%,100.00%
H3811,"SAMARITAN HEALTH PLANS, INC.",Samaritan Health Services,Local CCP,70%,75%,59%,Not enough data available to calculate measure,92%,72%,30%,90%,0:54,93%,100.00%,Not measured,83.33%,1.61%,0:54,82.00%,6.5%,0.7%,99.90%,100.00%
H3812,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,66%,Not enough data available to calculate measure,92%,69%,13%,91%,0:29,95%,100.00%,100.00%,100.00%,1.51%,0:29,86.00%,5.5%,1.8%,99.00%,100.00%
H3813,"ODS HEALTH PLAN, INC.","Health Services Group, Inc.",Local CCP,Not enough data available to calculate measure,84%,58%,Not enough data available to calculate measure,90%,Not enough data available to calculate measure,45%,90%,0:15,94%,Not measured,Not measured,90.91%,2.66%,0:30,85.00%,7.3%,3.2%,82.70%,100.00%
H3814,ATRIO HEALTH PLANS,ATRIO Health Plans,Local CCP,Not enough data available to calculate measure,91%,57%,Not enough data available to calculate measure,56%,64%,17%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,88.89%,Not measured,Not measured,Not measured,11.5%,1.0%,99.90%,100.00%
H3815,CITIZENS CHOICE HEALTHPLAN,Honored Citizens Choice Health Plan,Local CCP,Not enough data available to calculate measure,90%,41%,73%,82%,56%,18%,N/A,0:02,90%,100.00%,100.00%,100.00%,0.00%,0:02,75.00%,5.1%,0.6%,99.70%,100.00%
H3817,REGENCE BLUECROSS BLUESHIELD OF OR,The Regence Group,Local CCP,62%,70%,54%,80%,92%,79%,30%,90%,0:26,97%,100.00%,100.00%,100.00%,0.00%,0:26,91.00%,7.0%,2.0%,99.90%,100.00%
H3818,"FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,Local CCP,Not enough data available to calculate measure,56%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,62%,8%,N/A,0:46,93%,100.00%,Not measured,Not measured,0.81%,0:46,85.00%,6.1%,1.2%,99.10%,100.00%
H3832,HAWAII MEDICAL SERVICE ASSOCIATION,Hawaii Medical Service Association,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,90.00%,0.70%,0:40,75.00%,Not measured,Not measured,98.00%,61.54%
H3864,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Health Plans,Local CCP,33%,69%,62%,Not enough data available to calculate measure,92%,79%,33%,90%,0:24,96%,Not measured,100.00%,67.53%,0.00%,0:24,88.00%,5.1%,1.4%,97.40%,100.00%
H3887,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,44%,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,87%,52%,Not enough data available to calculate measure,91%,0:29,95%,100.00%,Not measured,100.00%,1.35%,0:29,86.00%,6.5%,1.8%,98.80%,100.00%
H3907,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,University of Pittsburgh Medical Center,Local CCP,81%,83%,57%,86%,92%,71%,42%,91%,0:11,97%,50.00%,Not measured,100.00%,0.24%,0:11,96.00%,8.2%,1.0%,99.70%,100.00%
H3909,QCC INSURANCE COMPANY,Independence Blue Cross,Local CCP,Not enough data available to calculate measure,86%,65%,85%,92%,78%,38%,92%,0:27,92%,Not measured,Not measured,100.00%,0.00%,0:27,89.00%,7.4%,2.1%,97.80%,92.31%
H3912,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,96%,53%,Not enough data available to calculate measure,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,11.4%,1.1%,99.80%,100.00%
H3916,"HIGHMARK, INC.",Highmark Inc.,Local CCP,65%,73%,56%,93%,91%,78%,37%,91%,2:29,96%,100.00%,92.31%,99.48%,0.19%,2:29,88.00%,7.2%,1.0%,99.70%,100.00%
H3920,"UNITEDHEALTHCARE OF PENNSYLVANIA, INC.","UnitedHealth Group, Inc.",Local CCP,63%,84%,44%,80%,90%,56%,27%,88%,0:46,92%,Not measured,Not measured,59.79%,0.50%,0:46,81.00%,7.3%,0.7%,99.20%,100.00%
H3921,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,90%,0:25,95%,100.00%,Not measured,100.00%,1.40%,0:25,86.00%,7.1%,1.8%,99.40%,100.00%
H3923,CAPITAL ADVANTAGE INSURANCE COMPANY,Capital BlueCross,Local CCP,Not enough data available to calculate measure,82%,66%,92%,92%,77%,32%,91%,0:38,96%,Not measured,Not measured,100.00%,0.00%,0:38,89.00%,6.4%,1.3%,99.80%,100.00%
H3924,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Health System,Local CCP,Not enough data available to calculate measure,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,71%,Not enough data available to calculate measure,91%,0:10,96%,Not measured,Not measured,97.73%,0.50%,0:17,82.00%,5.9%,1.8%,98.90%,92.31%
H3931,AETNA HEALTH INC,Aetna Inc.,Local CCP,58%,78%,53%,89%,92%,75%,37%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,100.00%,Not measured,Not measured,Not measured,6.4%,1.2%,99.60%,100.00%
H3949,BRAVO HEALTH PENNSYLVANIA INC.,"HealthSpring, Inc.",Local CCP,13%,86%,43%,80%,93%,55%,30%,89%,0:20,96%,100.00%,100.00%,100.00%,0.97%,0:20,78.00%,6.3%,0.5%,99.90%,100.00%
H3952,"KEYSTONE HEALTH PLAN EAST, INC.",Independence Blue Cross,Local CCP,78%,86%,51%,73%,92%,74%,36%,91%,0:24,92%,87.50%,80.00%,99.05%,1.63%,0:24,89.00%,7.0%,1.0%,95.60%,92.31%
H3954,GEISINGER HEALTH PLAN,Geisinger Health System,Local CCP,83%,92%,55%,100%,95%,76%,45%,92%,0:10,96%,80.00%,100.00%,93.75%,0.50%,0:17,82.00%,7.3%,1.3%,99.50%,92.31%
H3957,"KEYSTONE HEALTH PLAN WEST, INC.",Highmark Inc.,Local CCP,64%,73%,56%,90%,92%,71%,32%,92%,2:10,96%,100.00%,100.00%,96.77%,0.16%,2:10,88.00%,8.2%,0.8%,99.60%,100.00%
H3959,"HEALTHAMERICA PENNSYLVANIA, INC.",Coventry Health Care Inc.,Local CCP,88%,82%,70%,84%,93%,69%,46%,91%,0:21,94%,100.00%,100.00%,97.30%,0.00%,0:29,84.00%,6.9%,0.7%,98.50%,100.00%
H3962,"KEYSTONE HEALTH PLAN CENTRAL,INC.",Capital BlueCross,Local CCP,88%,84%,65%,86%,93%,72%,34%,92%,0:38,96%,0.00%,Not measured,88.89%,0.00%,0:38,89.00%,7.5%,1.0%,99.30%,100.00%
H3964,"BRAVO HEALTH PENNSYLVANIA, INC.","HealthSpring, Inc.",Local CCP,10%,86%,35%,89%,93%,50%,32%,90%,0:20,96%,100.00%,Not measured,90.00%,0.97%,0:20,78.00%,7.2%,0.6%,100.00%,100.00%
H4003,"MMM HEALTHCARE, INC.","Aveta, LLC.",Local CCP,75%,88%,24%,71%,92%,63%,30%,93%,0:36,89%,8.11%,73.08%,1.43%,0.58%,0:36,73.00%,5.2%,0.9%,Not measured,100.00%
H4004,"PREFERRED MEDICARE CHOICE, INC.","Aveta, LLC.",Local CCP,68%,88%,27%,75%,89%,62%,32%,92%,0:29,87%,13.64%,50.00%,0.00%,0.00%,0:29,70.00%,5.7%,0.9%,Not measured,100.00%
H4005,"TRIPLE-S SALUD,  INC.",Triple-S Management Corporation,Local CCP,58%,90%,26%,68%,88%,81%,47%,93%,0:49,86%,Not measured,Not measured,94.74%,2.85%,0:49,75.00%,5.1%,0.3%,Not measured,100.00%
H4006,MCS ADVANTAGE INC.,"Medical Card System, Inc.",Local CCP,70%,82%,24%,71%,93%,73%,39%,93%,0:31,92%,50.00%,50.00%,98.18%,4.80%,0:31,81.00%,4.4%,1.3%,Not measured,100.00%
H4007,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,Local CCP,67%,54%,14%,Not enough data available to calculate measure,97%,61%,12%,91%,1:26,96%,Not measured,Not measured,92.93%,4.94%,1:26,97.00%,4.8%,0.7%,Not measured,92.31%
H4011,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.",Local CCP,0 - Plan reported a Biased Rate,83%,49%,0 - Plan reported a Biased Rate,92%,65%,0 - Plan reported a Biased Rate,93%,0:36,86%,0.00%,Not measured,100.00%,2.44%,0:36,79.00%,4.9%,1.7%,Not measured,100.00%
H4012,"TRIPLE-S SALUD, INC.",Triple-S Management Corporation,Local CCP,33%,90%,33%,72%,84%,69%,30%,92%,0:49,86%,0.00%,Not measured,95.12%,2.85%,0:49,75.00%,5.4%,0.3%,Not measured,100.00%
H4036,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",Local CCP,Not enough data available to calculate measure,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,83%,Not enough data available to calculate measure,92%,0:13,86%,Not measured,Not measured,97.62%,0.62%,0:13,68.00%,7.5%,0.6%,99.00%,100.00%
