CY2010 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,,,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,,,Complaints,Patient Safety,,Plan Finder,Call Center,,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,,,,,,,,,,
R6801,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,100.00%,Not measured,88.91%,1.68%,2.08%,97.33%,,0.60%,2.17%,100.00%,86.02%,92.00%,41.18%,44.94%,65.81%,,,,,,,,,,
R7444,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,100.00%,83.61%,3.96%,1.88%,97.30%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
R9896,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO,100.00%,100.00%,85.76%,1.65%,2.04%,94.67%,,0.58%,1.50%,100.00%,88.35%,82.00%,32.93%,47.37%,72.60%,,,,,,,,,,
R9943,Anthem Blue Cross,ANTHEM BLUE CROSS LIFE AND HEALTH INSURANCE CO.,61.54%,87.50%,0.00%,4.27%,4.89%,Not measured,,1.01%,1.44%,100.00%,81.24%,Not enough data available to calculate measure,51.11%,51.92%,72.41%,,,,,,,,,,
S0043,"Preferred Medicare Choice, Inc.","PREFERRED MEDICARE CHOICE, INC.",0.00%,100.00%,81.82%,0.75%,1.14%,90.57%,,0.77%,0.81%,100.00%,,,,,,,,,,,,,,,
S0197,Coventry AdvantraRx,CAMBRIDGE LIFE INSURANCE COMPANY,100.00%,0.00%,54.02%,0.72%,2.17%,96.15%,,3.35%,1.61%,100.00%,,,,,,,,,,,,,,,
S0655,Tufts Health Plan,TUFTS INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,,,,,,,,,,,,,,,
S1030,BlueRx,BCBS OF ALABAMA AND BCBS OF TENNESSEE,100.00%,100.00%,84.87%,0.00%,0.00%,96.20%,,1.36%,1.73%,100.00%,,,,,,,,,,,,,,,
S2321,AmeriHealth Rx,QCC INS CO D/B/A AMERIHEALTH INS CO,100.00%,Not measured,Not measured,0.72%,2.50%,96.00%,,2.10%,2.36%,100.00%,,,,,,,,,,,,,,,
S2468,Blue Shield of California,CA PHYSICIANS' SERVICE DBA BLUE SHIELD OF CA,60.00%,100.00%,76.79%,4.35%,0.00%,94.74%,,0.68%,1.69%,100.00%,,,,,,,,,,,,,,,
S2505,Windsor Rx,"WINDSOR HEALTH PLAN, INC",50.00%,66.67%,96.83%,0.00%,4.21%,75.00%,,1.61%,1.83%,100.00%,,,,,,,,,,,,,,,
S2770,AmeriHealth Advantage,QCC INS CO D/B/A AMERIHEALTH INS CO,50.00%,70.59%,Not measured,0.00%,0.00%,97.85%,,0.60%,1.24%,100.00%,,,,,,,,,,,,,,,
S2873,Bella Vista PharmaCare,"PLAN MEDICO SERVICIOS DE SALUD BELLA VISTA, INC.",Not measured,Not measured,Not measured,5.43%,5.63%,43.59%,,Not measured,Not measured,100.00%,,,,,,,,,,,,,,,
S2874,"Humana Insurance of Puerto Rico, Inc","HUMANA INSURANCE OF PUERTO RICO, INC",Not measured,Not measured,83.33%,13.04%,0.80%,88.61%,,0.00%,1.69%,100.00%,,,,,,,,,,,,,,,
S2893,Blue MedicareRx,BLUE MEDICARERX,96.55%,90.00%,93.56%,0.00%,3.85%,97.62%,,0.43%,1.54%,100.00%,,,,,,,,,,,,,,,
S3389,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC",100.00%,Not measured,85.71%,0.77%,0.00%,93.33%,,0.62%,2.19%,100.00%,,,,,,,,,,,,,,,
S3440,Alliance Medicare Rx,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Not measured,Not measured,60.54%,0.78%,5.04%,97.22%,,1.06%,0.93%,100.00%,,,,,,,,,,,,,,,
S3521,Simply Prescriptions,"EXCELLUS HEALTH PLAN, INC",100.00%,Not measured,89.21%,0.00%,2.01%,98.75%,,0.35%,2.30%,100.00%,,,,,,,,,,,,,,,
S4248,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,Not measured,Not measured,Not measured,0.00%,0.00%,92.41%,,0.00%,0.00%,100.00%,,,,,,,,,,,,,,,
S4802,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,50.00%,100.00%,95.19%,0.00%,0.00%,85.71%,,0.88%,1.04%,95.00%,,,,,,,,,,,,,,,
S5540,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,50.00%,53.33%,88.10%,0.00%,2.17%,100.00%,,0.65%,1.81%,100.00%,,,,,,,,,,,,,,,
S5552,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,77.97%,95.31%,80.12%,2.56%,0.79%,90.74%,,0.54%,1.20%,100.00%,,,,,,,,,,,,,,,
S5555,MCS Classicare,"MCS ADVANTAGE, INC.",Not measured,Not measured,63.64%,34.56%,0.45%,74.19%,,0.48%,1.23%,100.00%,,,,,,,,,,,,,,,
S5557,Fox Insurance Company,FOX INSURANCE COMPANY,57.69%,81.82%,98.14%,3.57%,4.49%,86.75%,,1.46%,2.21%,100.00%,,,,,,,,,,,,,,,
S5566,HISC - BLUE CROSS AND BLUE SHIELD OF OKLAHOMA,HCSC INSURANCE SERVICES COMPANY,25.00%,0.00%,83.66%,0.75%,0.83%,87.21%,,1.40%,2.41%,100.00%,,,,,,,,,,,,,,,
S5569,First Health Part D,CAMBRIDGE LIFE INSURANCE COMPANY,66.67%,100.00%,59.21%,0.00%,2.17%,98.77%,,0.80%,1.29%,100.00%,,,,,,,,,,,,,,,
S5580,First United American Life Insurance Company,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,100.00%,Not measured,27.93%,2.62%,2.17%,93.67%,,0.21%,0.60%,100.00%,,,,,,,,,,,,,,,
S5584,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,77.78%,94.12%,87.95%,0.83%,1.04%,92.45%,,0.38%,1.57%,95.00%,,,,,,,,,,,,,,,
S5585,HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,100.00%,0.00%,80.00%,0.00%,2.17%,98.15%,,0.00%,0.00%,100.00%,,,,,,,,,,,,,,,
S5593,Highmark Senior Resources Inc.,HIGHMARK SENIOR RESOURCES INC.,85.25%,94.29%,92.82%,0.00%,2.17%,97.83%,,0.52%,1.28%,95.00%,,,,,,,,,,,,,,,
S5596,Blue MedicareRx,"ANTHEM INSURANCE COMPANIES, INC.",61.49%,84.94%,0.00%,1.55%,5.71%,Not measured,,0.88%,1.56%,100.00%,,,,,,,,,,,,,,,
S5597,Universal American,PENNSYLVANIA LIFE INSURANCE COMPANY,71.56%,90.32%,80.36%,0.00%,1.24%,94.34%,,1.24%,1.83%,100.00%,,,,,,,,,,,,,,,
S5601,SilverScript Insurance Company,SILVERSCRIPT INSURANCE COMPANY,93.84%,93.65%,93.75%,0.00%,0.80%,97.67%,,1.06%,1.84%,100.00%,,,,,,,,,,,,,,,
S5609,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,Not measured,100.00%,62.96%,0.00%,1.99%,93.33%,,0.57%,2.27%,100.00%,,,,,,,,,,,,,,,
S5617,CIGNA Medicare Rx,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,65.00%,79.63%,93.44%,0.82%,0.75%,94.38%,,1.48%,1.60%,100.00%,,,,,,,,,,,,,,,
S5644,RxAmerica,ACCENDO INSURANCE COMPANY,82.23%,82.21%,92.70%,0.82%,0.80%,96.63%,,0.49%,0.82%,100.00%,,,,,,,,,,,,,,,
S5660,Medco Medicare Prescription Plan,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,82.63%,92.11%,89.86%,1.20%,2.17%,96.20%,,0.53%,0.92%,100.00%,,,,,,,,,,,,,,,
S5670,Coventry AdvantraRx,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,72.41%,95.71%,55.03%,0.00%,2.17%,96.15%,,1.06%,1.95%,100.00%,,,,,,,,,,,,,,,
S5674,Coventry AdvantraRx,FIRST HEALTH LIFE AND HEALTH INSURANCE COMPANY,70.00%,100.00%,54.39%,0.00%,2.17%,96.15%,,0.65%,1.87%,100.00%,,,,,,,,,,,,,,,
S5678,Health Net,HEALTH NET LIFE INS CO/HEALTH NET INS OF NY,94.39%,89.58%,94.35%,0.00%,2.20%,93.26%,,0.41%,1.82%,100.00%,,,,,,,,,,,,,,,
S5715,"HISC - Blue Cross Blue Shield of IL, TX, and NM",HCSC INSURANCE SERVICES COMPANY,80.95%,71.43%,77.93%,0.52%,3.05%,93.26%,,0.99%,1.85%,100.00%,,,,,,,,,,,,,,,
S5726,Blue MedicareRx,BLUE CROSS BLUE SHIELD OF KANSAS,66.67%,85.71%,Not measured,1.01%,5.94%,Not measured,,0.89%,1.46%,100.00%,,,,,,,,,,,,,,,
S5741,HIP Medicare PDP,HIP HEALTH PLAN OF NEW YORK,0.00%,100.00%,89.18%,10.79%,1.02%,95.52%,,0.69%,2.31%,100.00%,,,,,,,,,,,,,,,
S5743,MedicareBlue Rx,BLUE CROSS BLUE SHIELD NORTHERN PLAINS ALLIANCE,77.78%,50.00%,72.73%,0.00%,0.00%,95.12%,,0.43%,2.48%,100.00%,,,,,,,,,,,,,,,
S5753,WPS Health Insurance,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,58.33%,75.00%,95.75%,0.00%,2.21%,93.98%,,0.37%,0.79%,100.00%,,,,,,,,,,,,,,,
S5755,United American Insurance Company,UNITED AMERICAN INSURANCE COMPANY,69.70%,87.50%,40.26%,2.40%,2.17%,98.76%,,Not measured,Not measured,100.00%,,,,,,,,,,,,,,,
S5766,Medi-CareFirst BlueCross BlueShield,"FIRST CARE, INC.",100.00%,100.00%,86.83%,0.83%,1.74%,97.70%,,0.26%,1.90%,100.00%,,,,,,,,,,,,,,,
S5768,First Health Part D,FIRST HEALTH LIFE AND HEALTH INSURANCE COMPANY,73.13%,89.09%,66.56%,0.00%,2.17%,98.77%,,1.63%,1.63%,100.00%,,,,,,,,,,,,,,,
S5775,Pharmacy Insurance Corporation of America - PICA,PHARMACY INSURANCE CORPORATION OF AMERICA,Not measured,Not measured,89.21%,1.50%,1.00%,82.76%,,0.17%,1.84%,100.00%,,,,,,,,,,,,,,,
S5795,Arkansas Blue Cross  -  Medi-Pak Rx,"ARKANSAS BCBS, A MUTUAL INS CO",33.33%,Not measured,94.00%,0.71%,0.00%,100.00%,,1.07%,2.23%,100.00%,,,,,,,,,,,,,,,
S5803,Universal American,PENN LIFE INS CO AND AMER PROG LIFE AND HTH INS CO,94.38%,95.58%,90.46%,0.82%,1.06%,91.43%,,1.20%,1.44%,100.00%,,,,,,,,,,,,,,,
S5805,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,59.38%,82.35%,73.85%,0.00%,1.09%,93.33%,,0.53%,1.75%,100.00%,,,,,,,,,,,,,,,
S5810,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,83.64%,96.49%,91.37%,0.00%,0.00%,96.92%,,1.30%,2.01%,84.00%,,,,,,,,,,,,,,,
S5820,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,81.45%,77.58%,80.44%,0.00%,1.09%,93.71%,,0.67%,1.80%,100.00%,,,,,,,,,,,,,,,
S5825,Universal American,AMERICAN PROGRESSIVE LIFE AND HEALTH INS CO NY,91.67%,100.00%,61.70%,0.00%,1.24%,94.34%,,0.51%,1.55%,100.00%,,,,,,,,,,,,,,,
S5840,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC",Not measured,100.00%,Not measured,8.73%,4.55%,74.00%,,0.00%,7.74%,100.00%,,,,,,,,,,,,,,,
S5857,Priority Health Medicare,PRIORITY HEALTH INSURANCE COMPANY,Not measured,Not measured,62.22%,0.00%,0.49%,100.00%,,0.00%,2.08%,100.00%,,,,,,,,,,,,,,,
S5860,Rocky Mountain Health Plans,ROCKY MOUNTAIN  HEALTH MAINTENANCE ORGANIZATION,Not measured,Not measured,78.21%,0.00%,0.00%,96.77%,,1.45%,3.86%,100.00%,,,,,,,,,,,,,,,
S5877,Educators Mutual Insurance Association,EDUCATORS MUTUAL INSURANCE ASSOCIATION,Not measured,Not measured,Not measured,0.84%,1.94%,90.63%,,0.00%,1.75%,100.00%,,,,,,,,,,,,,,,
S5884,Humana Insurance Company,HUMANA INSURANCE COMPANY,85.36%,94.43%,75.97%,2.51%,0.80%,89.83%,,0.85%,1.51%,100.00%,,,,,,,,,,,,,,,
S5904,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",66.67%,100.00%,72.43%,1.72%,1.69%,91.94%,,0.72%,1.94%,100.00%,,,,,,,,,,,,,,,
S5907,"Triple-S Salud, Inc.","TRIPLE-S SALUD, INC.",Not measured,Not measured,45.95%,5.84%,3.17%,80.77%,,0.28%,0.19%,95.00%,,,,,,,,,,,,,,,
S5915,Scott and White Health PlanTexas Rx Plan,SCOTT AND WHITE HEALTH PLAN,Not measured,Not measured,100.00%,1.59%,0.00%,98.18%,,0.87%,2.32%,100.00%,,,,,,,,,,,,,,,
S5916,Regence Life and Health,REGENCE LIFE AND HEALTH INSURANCE COMPANY,100.00%,100.00%,66.15%,0.00%,1.93%,93.94%,,0.87%,2.56%,100.00%,,,,,,,,,,,,,,,
S5917,UNITED HEALTHCARE INSURANCE COMPANY,UNITEDHEALTHCARE  INSURANCE COMPANY,85.71%,75.00%,92.57%,1.37%,1.08%,94.29%,,1.52%,0.07%,100.00%,,,,,,,,,,,,,,,
S5921,UnitedHealthcare,UNITEDHEALTHCARE INS. CO. AND UNITEDHEALTHCARE NY,73.57%,82.78%,89.25%,0.89%,1.11%,94.92%,,0.96%,1.69%,100.00%,,,,,,,,,,,,,,,
S5932,HealthSpring Prescription Drug Plan,"HEALTHSPRING INC. HEALTHSPRING OF ALABAMA, INC.",92.59%,96.43%,94.91%,1.13%,1.09%,100.00%,,1.25%,1.87%,100.00%,,,,,,,,,,,,,,,
S5937,Blue Cross and Blue Shield of Louisiana,LOUISIANA HEALTH SERVICE AND INDEMNITY COMPANY,Not measured,100.00%,91.25%,0.00%,0.00%,86.96%,,0.52%,2.11%,100.00%,,,,,,,,,,,,,,,
S5953,Blue Cross Blue Shield of South Carolina,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,100.00%,100.00%,85.73%,0.00%,0.80%,98.57%,,0.76%,1.42%,100.00%,,,,,,,,,,,,,,,
S5954,"Dean Health Insurance, Inc.","DEAN HEALTH INSURANCE, INC.",75.00%,100.00%,77.58%,0.75%,1.94%,95.51%,,1.35%,2.25%,100.00%,,,,,,,,,,,,,,,
S5960,UniCare,UNICARE LIFE AND HEALTH INSURANCE COMPANY,63.00%,85.00%,0.00%,2.56%,5.71%,Not measured,,1.14%,1.31%,100.00%,,,,,,,,,,,,,,,
S5966,GHI Medicare PDP,GHI (GROUP HEALTH INCORPORATED),87.50%,81.82%,94.44%,0.78%,0.75%,93.59%,,0.46%,1.29%,100.00%,,,,,,,,,,,,,,,
S5967,WellCare,"WELLCARE PRESCRIPTION INSURANCE, INC.",81.82%,83.33%,Not measured,4.23%,0.79%,91.56%,,1.03%,1.84%,100.00%,,,,,,,,,,,,,,,
S5983,Medco Medicare Prescription Plan,MEDCO CONTAINMENT INSURANCE COMPANY OF NEW YORK,81.82%,100.00%,77.25%,0.00%,2.17%,96.20%,,0.63%,0.80%,100.00%,,,,,,,,,,,,,,,
S5993,"Horizon Blue Cross Blue Shield of New Jersey, Inc.",HORIZON HEALTHCARE SERVICES DBA HORIZON BCBS NJ,94.12%,90.91%,24.43%,0.00%,0.80%,89.36%,,0.34%,1.85%,100.00%,,,,,,,,,,,,,,,
S5998,Bravo Health Insurance Company,"BRAVO HEALTH INSURANCE COMPANY, INC.",95.00%,90.00%,84.61%,0.00%,2.17%,94.81%,,0.53%,1.12%,95.00%,,,,,,,,,,,,,,,
S7694,EnvisionRx Plus,ENVISION INSURANCE COMPANY,66.67%,Not measured,89.96%,1.15%,0.00%,97.26%,,1.45%,2.33%,100.00%,,,,,,,,,,,,,,,
S8067,Avalon Insurance Company,AVALON INSURANCE COMPANY,Not measured,100.00%,97.47%,0.00%,0.67%,94.05%,,0.85%,1.47%,100.00%,,,,,,,,,,,,,,,
S8201,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC",Not measured,Not measured,Not measured,0.77%,0.00%,93.33%,,0.00%,0.00%,100.00%,,,,,,,,,,,,,,,
S8475,QUALITY HEALTH PLANS,"QUALITY HEALTH PLANS, INC",100.00%,Not measured,92.86%,0.78%,0.00%,94.74%,,1.47%,0.27%,100.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
