2012 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",,,Member Experience with Drug Plan,,,Drug pricing and patient safety,,,,,
H6900,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:34,84.1,0.0,No appeals required review,85.03,0.73,80,22%,83%,86%,90%,96.5,14.4%,79.9%,80.5%,80.0%,75.6%
H6923,Local CCP,AETNA HEALTH,Aetna Medicare,Aetna Inc.,No data available,No data available,25.4,No appeals required review,Not enough data available to calculate measure,0.17,0,29%,79%,79%,88%,99.7,8.0%,85.8%,66.8%,67.6%,65.4%
H6952,Local CCP,"UNITEDHEALTHCARE OF THE GREAT LAKES HLTH PLAN, INC",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",1:06,No data available,0.0,No appeals required review,96.94,0.77,60,19%,No data available,No data available,No data available,98.2,29.9%,85.4%,71.1%,63.2%,60.6%
H7002,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,0.0,No appeals required review,83.38,1.10,80,16%,83%,87%,93%,95.8,30.1%,80.8%,70.4%,73.4%,68.4%
H7006,Local CCP,"MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.","Marion Polk Community Health Plan Advantage, Inc.","Marion Polk Community Health Plan, LLC",0:38,87.9,0.0,No appeals required review,89.12,0.15,100,5%,87%,85%,93%,98.7,22.5%,79.5%,75.6%,78.2%,75.4%
H7015,Local CCP,"HEALTHFIRST HEALTH PLAN OF NEW JERSEY, INC.",Healthfirst NJ Medicare Plan,"HF Management Services, LLC",0:36,92.8,0.0,No appeals required review,92.71,0.64,80,21%,No data available,80%,No data available,99.1,21.5%,87.9%,57.0%,57.0%,47.6%
H7086,Local CCP,COMMUNITY HEALTH GROUP,Community Health Group,Community Health Group,0:23,No data available,0.0,No appeals required review,100.00,0.54,80,22%,81%,84%,90%,97.6,20.2%,94.5%,70.7%,67.2%,70.3%
H7149,Local CCP,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",Coventry Health Care,Coventry Health Care Inc.,0:18,84.9,8.3,Not enough data available to calculate measure,97.00,0.06,40,21%,75%,82%,92%,98.8,17.8%,77.5%,72.7%,69.7%,69.9%
H7173,Local CCP,"PEACH STATE HEALTH PLAN, INC.",Advantage by Peach State,Centene Corporation,0:16,No data available,No data available,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H7179,Local CCP,"ARCADIAN HEALTH PLAN OF LOUISIANA, INC.",Arcadian Community Care,Arcadian Management Services Inc.,No data available,No data available,0.0,Not enough data available to calculate measure,93.94,0.32,0,17%,82%,87%,92%,98.1,29.1%,87.0%,68.2%,64.0%,60.4%
H7187,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,Not enough data available to calculate measure,95.28,0.63,40,11%,84%,86%,92%,98.4,20.3%,82.6%,65.9%,66.9%,62.0%
H7188,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,0.0,No appeals required review,86.92,0.56,80,26%,87%,85%,92%,96.5,25.1%,81.2%,73.9%,71.0%,68.3%
H7200,Local CCP,"AMERIGROUP TENNESSEE, INC.",Amerigroup Community Care,AMERIGROUP Corporation,0:34,61.6,8.3,Not enough data available to calculate measure,99.30,0.54,100,17%,75%,85%,90%,98.0,26.2%,86.4%,56.1%,59.2%,57.0%
H7220,Local CCP,"INDIANA UNIVERSITY HEALTH PLANS, INC.",Indiana University Health Plans - Medicare,Indiana University Health,0:39,85.3,1.5,Not enough data available to calculate measure,98.31,0.21,100,9%,89%,85%,94%,98.9,23.1%,82.7%,74.2%,74.9%,69.4%
H7281,Local CCP,"BRAVO HEALTH PENNSYLVANIA, INC.",Bravo Health,"HealthSpring, Inc.",0:19,81.8,17.2,No appeals required review,87.46,1.38,39,16%,82%,78%,84%,98.6,14.8%,83.2%,69.3%,70.5%,68.0%
H7292,Local CCP,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),Alameda Alliance for Health,Alameda Alliance for Health,0:24,No data available,4.1,No appeals required review,94.23,0.14,80,8%,80%,88%,89%,97.3,18.1%,86.9%,74.1%,72.0%,71.5%
H7301,Local CCP,PERSONAL CARE INSURANCE OF ILLINOIS,PersonalCare,Coventry Health Care Inc.,0:18,84.9,0.0,Not enough data available to calculate measure,96.26,0.32,40,12%,80%,82%,91%,98.8,16.4%,81.8%,77.9%,76.9%,71.3%
H7306,Local CCP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,0:18,84.9,0.0,Not enough data available to calculate measure,95.35,0.63,40,33%,80%,80%,88%,98.8,22.7%,81.4%,61.0%,64.3%,61.4%
H7352,Local CCP,"UNIVERSITY CARE ADVANTAGE, L.L.C",University Care Advantage,"UA Healthcare, Inc.",0:32,No data available,11.8,Not enough data available to calculate measure,77.15,0.97,100,17%,No data available,84%,87%,98.1,22.2%,86.8%,65.8%,62.8%,61.2%
H7475,Local CCP,"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",0:02,No data available,Not enough data available to calculate measure,No appeals required review,50.00,Not enough data available to calculate measure,60,Not enough data available to calculate measure,No data available,No data available,No data available,101.6,19.2%,79.5%,83.9%,80.8%,87.9%
H7526,Local CCP,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,0:21,No data available,0.0,No appeals required review,91.26,Not enough data available to calculate measure,100,6%,No data available,No data available,No data available,97.6,11.4%,81.0%,76.3%,71.9%,76.7%
H7678,Local CCP,"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","Molina Healthcare, Inc.,",0:47,81.3,Not enough data available to calculate measure,No appeals required review,97.06,Not enough data available to calculate measure,49,Not enough data available to calculate measure,No data available,No data available,No data available,101.3,21.5%,88.8%,64.3%,63.0%,58.3%
H7731,Local CCP,"MD CARE, INC.",MD Care Healthplan,"MD Care, Inc.",0:39,80.2,0.8,50.0%,92.23,0.35,80,29%,78%,89%,92%,96.2,23.6%,88.8%,71.5%,70.3%,66.3%
H7787,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring Medicare Advantage PPO,"HealthSpring, Inc.",0:24,86.8,6.7,Not enough data available to calculate measure,94.49,1.16,44,17%,81%,86%,91%,Not enough data available to calculate measure,23.2%,84.4%,67.6%,67.9%,64.3%
H7908,Local CCP,AETNA HEALTH,Aetna Medicare,Aetna Inc.,No data available,No data available,34.7,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,0,31%,No data available,No data available,No data available,98.0,7.3%,90.8%,66.3%,64.7%,63.8%
H7917,Local CCP,BLUE CROSS BLUE SHIELD OF TENNESSEE,BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,0:35,63.1,1.1,17.6%,90.74,0.40,80,34%,78%,82%,91%,98.0,27.2%,82.7%,73.6%,73.5%,66.7%
H7949,Local CCP,"PACIFICARE OF NEVADA, INC.",SecureHorizons by UnitedHealthcare,"UnitedHealth Group, Inc.",0:59,76.8,0.0,No appeals required review,75.37,1.11,100,No data available,85%,87%,94%,Not enough data available to calculate measure,20.4%,88.8%,75.0%,77.8%,70.2%
H8050,Local CCP,"CARILION CLINIC MEDICARE RESOURCES, LLC",Carilion Clinic Medicare Health Plan,"Carilion Services, Inc.",0:19,97.6,Not enough data available to calculate measure,No appeals required review,94.77,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,97.5,18.2%,84.8%,73.0%,75.7%,71.5%
H8091,Local CCP,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,0:35,90.2,No data available,Not enough data available to calculate measure,91.89,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H8098,PFFS,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"Universal Health Care Insurance Company, Inc.","Universal Health Care Group, Inc.",0:17,25.9,No data available,70.0%,18.11,0.74,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H8130,Local CCP,"MOLINA HEALTHCARE OF FLORIDA, INC.",Molina Healthcare of Florida,"Molina Healthcare, Inc.,",0:45,81.3,Not enough data available to calculate measure,No appeals required review,95.86,Not enough data available to calculate measure,49,Not enough data available to calculate measure,No data available,No data available,No data available,102.9,15.6%,90.9%,65.6%,62.8%,51.6%
H8145,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,No data available,Not enough data available to calculate measure,82.38,0.56,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H8189,Local CCP,"MANAGED HEALTH SERVICES, WISCONSIN",Advantage by Managed Health Services,Centene Corporation,0:17,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,60,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,No data available,No data available,No data available
H8393,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,0:18,84.9,0.0,Not enough data available to calculate measure,96.88,0.77,40,12%,No data available,No data available,No data available,98.9,16.6%,83.3%,72.9%,78.7%,73.5%
H8552,Local CCP,ANTHEM BLUE CROSS LIFE AND HEALTH INSURANCE CO.,Anthem Blue Cross,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8558,Local CCP,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,0:33,72.1,Not enough data available to calculate measure,No appeals required review,68.92,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,33.3%,No data available,68.4%,81.0%
H8578,Local CCP,"HEALTH NEW ENGLAND, INC.","Health New England, Inc.","Baystate Health, Inc.",0:20,83.3,0.0,No appeals required review,94.12,0.27,40,4%,88%,84%,92%,98.2,11.3%,82.5%,79.6%,79.0%,79.3%
H8604,Local CCP,THP INSURANCE COMPANY,Health Plan SecureChoice,Health Plan of the Upper Ohio Valley,0:19,84.7,Not enough data available to calculate measure,No appeals required review,95.95,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,98.0,17.1%,76.1%,76.8%,82.0%,70.7%
H8644,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,0.0,No appeals required review,83.85,0.69,100,14%,81%,82%,90%,96.6,27.0%,83.9%,73.0%,70.9%,68.7%
H8649,Local CCP,"ALTIUS HEALTH PLANS, INC. (UTAH)",Altius Health Plans,Coventry Health Care Inc.,0:17,85.3,2.1,Not enough data available to calculate measure,91.97,0.21,40,16%,81%,80%,88%,99.1,16.8%,85.4%,72.4%,69.5%,65.7%
H8684,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,No data available,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,0.15,0,Not enough data available to calculate measure,No data available,No data available,No data available,97.1,7.7%,82.0%,75.7%,83.6%,82.0%
H8707,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:34,84.1,2.5,No appeals required review,80.87,0.68,100,16%,85%,85%,90%,96.7,26.2%,86.1%,69.2%,70.1%,65.9%
H8748,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,No appeals required review,97.12,0.92,40,17%,83%,85%,90%,98.0,20.7%,82.3%,68.9%,66.0%,58.3%
H8822,Local CCP,"ADVANTAGE HEALTH SOLUTIONS, INC.","ADVANTAGE Health Solutions, Inc.",Advantage Health Solutions,0:22,89.9,Not enough data available to calculate measure,No appeals required review,94.75,0.35,80,13%,No data available,No data available,No data available,103.2,23.4%,84.7%,66.7%,65.6%,64.3%
H8953,Local CCP,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Inc.,0:34,84.1,2.6,No appeals required review,70.06,0.92,100,16%,59%,86%,92%,96.4,19.6%,85.6%,77.3%,74.9%,71.2%
H8980,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,HealthAmerica,Coventry Health Care Inc.,0:19,84.9,0.0,Not enough data available to calculate measure,93.39,0.00,40,17%,86%,82%,93%,98.9,19.9%,79.9%,75.0%,73.9%,71.1%
H8991,Local CCP,"AMERIGROUP FLORIDA, INC.",Amerigroup Community Care,AMERIGROUP Corporation,0:32,61.6,5.0,No appeals required review,98.83,0.99,100,25%,77%,83%,90%,98.2,28.7%,87.4%,66.6%,62.1%,54.5%
H9001,Local CCP,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,Fallon Community Health Plan,0:34,85.4,1.1,Not enough data available to calculate measure,49.06,0.23,80,4%,83%,86%,94%,97.2,13.2%,78.7%,79.9%,80.4%,76.2%
H9003,Local CCP,KAISER FOUNDATION HP OF THE N W,Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",0:11,76.3,0.4,Not enough data available to calculate measure,90.28,0.11,80,1%,90%,92%,97%,98.1,8.8%,88.3%,84.1%,84.3%,81.7%
H9011,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,Not enough data available to calculate measure,96.60,1.57,40,36%,83%,85%,90%,98.2,18.8%,85.6%,69.9%,69.5%,56.3%
H9047,Local CCP,PROVIDENCE HEALTH PLAN,Providence Health Plans,Providence Health & Services,0:33,90.7,0.0,Not enough data available to calculate measure,95.56,0.05,60,3%,91%,88%,94%,95.2,16.4%,85.2%,79.9%,79.2%,77.5%
H9082,Local CCP,"MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare of New Mexico, Inc.","Molina Healthcare, Inc.,",0:47,81.3,Not enough data available to calculate measure,Not enough data available to calculate measure,83.66,Not enough data available to calculate measure,49,Not enough data available to calculate measure,No data available,No data available,No data available,101.8,15.0%,90.5%,59.6%,65.5%,61.7%
H9104,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,0:31,No data available,0.0,40.0%,88.70,0.16,80,8%,84%,87%,90%,95.8,22.2%,84.2%,73.5%,73.8%,72.2%
H9184,Local CCP,"BRAVO HEALTH MID-ATLANTIC, INC.",Bravo Health,"HealthSpring, Inc.",0:19,83.2,Not enough data available to calculate measure,No appeals required review,91.67,Not enough data available to calculate measure,39,Not enough data available to calculate measure,No data available,No data available,No data available,100.4,13.1%,80.6%,83.9%,66.4%,70.4%
H9285,Local CCP,ATLANTIS HEALTH PLAN,EASY CHOICE HEALTH PLAN OF NEW YORK,"Atlantis Health Systems, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9302,Local CCP,"SOUNDPATH HEALTH, INC.",Soundpath Health,"Puget Sound Health Partners, Inc.",0:18,79.1,0.0,Not enough data available to calculate measure,90.01,0.29,60,25%,84%,82%,91%,98.5,18.9%,83.9%,77.5%,77.6%,75.5%
H9385,Local CCP,SCAN HEALTH PLAN OF ARIZONA,SCAN Health Plan Arizona,SCAN Health Plan,0:32,81.6,1.4,Not enough data available to calculate measure,94.59,0.36,80,10%,81%,84%,89%,96.2,20.1%,83.6%,72.9%,72.5%,70.3%
H9503,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:29,84.0,0.0,No appeals required review,86.80,0.64,100,19%,79%,80%,88%,95.9,21.3%,87.6%,70.1%,73.4%,70.2%
H9572,Local CCP,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,0:34,78.8,10.4,44.4%,85.27,0.14,37,9%,78%,81%,93%,99.5,16.5%,81.2%,77.3%,81.0%,77.8%
H9615,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",0:19,80.7,2.5,No appeals required review,89.95,0.33,100,9%,83%,85%,93%,97.9,15.1%,82.5%,77.2%,81.8%,77.1%
H9670,Local CCP,"UPMC HEALTH BENEFITS, INC.",UPMC Health Plan,University of Pittsburgh Medical Center,0:36,92.9,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,0.00,80,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,75.0%,60.9%,85.0%
H9720,PFFS,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.",0:13,92.9,0.0,No appeals required review,97.26,Not enough data available to calculate measure,100,16%,No data available,No data available,No data available,97.2,25.9%,83.1%,72.4%,68.4%,66.3%
H9847,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,0:19,84.9,0.0,Not enough data available to calculate measure,96.18,0.42,40,33%,86%,84%,93%,98.9,20.5%,82.0%,68.9%,67.5%,63.0%
H9859,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",0:19,80.7,5.1,Not enough data available to calculate measure,87.28,0.22,100,6%,87%,86%,92%,98.0,14.9%,83.0%,77.4%,80.7%,76.3%
H9947,Local CCP,BLUE CROSS BLUE SHIELD OF GEORGIA,Blue Cross Blue Shield of Georgia,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9988,Local CCP,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,0:36,73.2,Not enough data available to calculate measure,No appeals required review,96.91,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,100.0%,85.7%,100.0%
R3175,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:43,76.3,0.0,No appeals required review,94.79,0.29,40,6%,76%,81%,89%,98.2,13.5%,83.9%,68.8%,69.4%,66.0%
R3332,Regional CCP,"BLUE CROSS AND BLUE SHIELD OF FL, INC.","Blue Cross and Blue Shield of Florida, Inc.",Blue Cross and Blue Shield of Florida,0:37,53.4,0.9,Not enough data available to calculate measure,86.56,0.75,80,35%,80%,76%,87%,98.9,13.4%,83.7%,71.5%,75.5%,68.6%
R3444,Regional CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Care Improvement Plus,XLHealth Corporation,0:18,71.9,0.0,Not enough data available to calculate measure,85.57,0.55,80,17%,88%,86%,92%,98.3,30.9%,84.5%,70.2%,66.5%,63.8%
R5287,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.6,66.7%,96.52,0.51,40,14%,82%,82%,91%,98.3,20.9%,83.6%,67.8%,69.5%,64.7%
R5342,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.5,100.0%,95.45,0.76,40,13%,80%,82%,90%,98.0,15.6%,83.9%,72.9%,71.7%,69.0%
R5566,Regional CCP,"BCBS MN, MT, NE, ND, WY, WELLMARK IA AND SD",MedicareBlue PPO,"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",0:39,94.1,0.8,No appeals required review,81.22,0.24,56,10%,79%,80%,93%,97.5,9.8%,84.8%,83.7%,83.9%,80.3%
R5674,Regional CCP,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Sierra Health and Life Insurance Company, Inc.","UnitedHealth Group, Inc.",0:42,79.6,0.0,Not enough data available to calculate measure,98.73,0.59,60,14%,78%,78%,89%,90.7,11.9%,84.3%,70.4%,67.5%,65.9%
R5826,Regional CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,1.3,50.0%,84.23,0.45,40,10%,No data available,80%,No data available,96.4,22.7%,83.9%,72.7%,72.8%,69.2%
R5941,Regional CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:57,69.1,5.8,42.9%,83.02,0.59,40,8%,77%,84%,92%,95.9,20.2%,82.2%,70.9%,72.0%,68.2%
R6801,Regional CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,XLHealth Corporation,0:18,71.9,1.0,Not enough data available to calculate measure,86.07,0.56,80,18%,77%,85%,89%,98.3,29.5%,86.1%,66.5%,65.4%,60.7%
R7439,Regional CCP,HAWAII MEDICAL SERVICE ASSOCIATION,Akamai Advantage by HMSA,Hawaii Medical Service Association,0:28,22.6,No data available,20.0%,64.41,0.22,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
R7444,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.9,Not enough data available to calculate measure,93.93,0.42,40,12%,85%,81%,92%,98.2,12.6%,84.9%,72.7%,74.2%,69.2%
R9896,Regional CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO,Care Improvement Plus,XLHealth Corporation,0:19,71.9,1.0,Not enough data available to calculate measure,84.60,0.45,80,12%,77%,86%,91%,98.3,33.8%,86.1%,66.4%,63.6%,58.9%
S0043,PDP,"PREFERRED MEDICARE CHOICE, INC.","Preferred Medicare Choice, Inc.","Aveta, LLC.",0:37,50.7,0.0,No appeals required review,85.23,1.04,80,15%,75%,77%,84%,93.4,22.4%,85.0%,53.5%,54.3%,35.4%
S0197,PDP,CAMBRIDGE LIFE INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,0:19,84.6,0.0,No appeals required review,98.92,0.44,40,14%,76%,77%,89%,98.1,15.7%,77.5%,77.3%,75.8%,69.7%
S0223,PDP,"HEALTH FIRST HEALTH PLANS, INC",Health First Medicare Prescription Drug Plan,Health First,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S0586,PDP,"MVP HEALTH PLAN, INC.",MVP Health Care,"MVP Health Care, Inc.",No data available,No data available,No data available,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
S0655,PDP,TUFTS INSURANCE COMPANY,Tufts Health Plan Medicare Preferred,"TAHMO, Inc.",0:35,75.3,Not enough data available to calculate measure,0.0%,81.71,2.01,80,Not enough data available to calculate measure,No data available,No data available,No data available,99.2,17.1%,83.3%,72.9%,79.0%,77.0%
S1030,PDP,BCBS OF ALABAMA AND BCBS OF TENNESSEE,BlueRx,BCBS OF AL & BCBS OF TN,1:18,81.3,0.4,60.0%,85.29,0.39,80,19%,78%,81%,91%,97.9,33.7%,81.8%,73.1%,73.2%,67.7%
S1480,PDP,MCKINLEY LIFE INSURANCE COMPANY,PrimeTime Prescription Drug Plan,Aultman Health Foundation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S1822,PDP,"HEALTHPARTNERS, INC.",HealthPartners National PDP,"HealthPartners, Inc.",No data available,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,21.9%,88.1%,76.4%,89.3%,78.6%
S2321,PDP,QCC INS CO D/B/A AMERIHEALTH INS CO,AmeriHealth Rx,Independence Blue Cross,0:34,88.2,2.3,Not enough data available to calculate measure,86.72,1.35,60,11%,74%,76%,87%,100.4,24.4%,78.7%,78.0%,76.0%,75.2%
S2468,PDP,CA PHYSICIANS' SERVICE DBA BLUE SHIELD OF CA,Blue Shield of California,California Physicians' Service,0:07,78.8,17.3,57.1%,88.86,0.19,80,7%,80%,88%,93%,96.1,21.0%,83.3%,75.8%,77.0%,73.9%
S2505,PDP,"WINDSOR HEALTH PLAN, INC",Windsor Rx,Munich American Holding Corporation,0:44,82.7,0.4,No appeals required review,98.93,0.12,27,10%,79%,81%,89%,96.2,31.3%,81.4%,63.6%,61.0%,59.9%
S2874,PDP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,0:34,84.8,Not enough data available to calculate measure,No appeals required review,57.32,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,97.2,23.1%,89.7%,37.7%,56.5%,30.3%
S2893,PDP,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Blue MedicareRx,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,0:34,87.8,5.1,51.3%,95.36,0.35,60,6%,77%,77%,89%,95.3,14.4%,80.9%,79.2%,80.7%,76.3%
S3389,PDP,"UPMC HEALTH BENEFITS, INC",UPMC Health Plan,University of Pittsburgh Medical Center,0:36,92.9,0.0,No appeals required review,94.29,0.35,80,14%,83%,82%,90%,98.0,21.0%,76.4%,76.0%,75.4%,72.8%
S3440,PDP,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Alliance Medicare Rx,Health Alliance Plan (HAP),0:28,71.8,0.0,Not enough data available to calculate measure,98.85,0.39,60,31%,No data available,76%,87%,96.6,28.4%,82.4%,75.2%,72.2%,71.8%
S3521,PDP,"EXCELLUS HEALTH PLAN, INC",Simply Prescriptions,"Lifetime Healthcare, Inc.",0:22,89.3,0.5,Not enough data available to calculate measure,97.70,0.31,100,5%,82%,88%,92%,98.0,18.5%,81.2%,81.9%,80.9%,77.6%
