2014 Star View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
H3945,Local CCP,Cigna-HealthSpring,CIGNA HEALTH AND LIFE INSURANCE COMPANY,CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3949,Local CCP,Cigna-HealthSpring,"BRAVO HEALTH PENNSYLVANIA, INC.",CIGNA,2,2,Not enough data available,3,4,5,4,4,4,4,5,2,2,2,2
H3952,Local CCP,Keystone 65 HMO,"KEYSTONE HEALTH PLAN EAST, INC.",Independence Blue Cross,3,5,Not enough data available,4,2,5,5,2,4,Not enough data available,4,1,5,5,5
H3954,Local CCP,Geisinger Gold,GEISINGER HEALTH PLAN,Geisinger Health System,1,5,1,4,4,5,4,4,4,4,5,2,5,5,5
H3957,Local CCP,"Keystone Health Plan West, Inc.","KEYSTONE HEALTH PLAN WEST, INC.",Highmark,3,1,1,5,5,5,3,4,5,4,3,1,5,4,5
H3959,Local CCP,HealthAmerica,"HEALTHAMERICA PENNSYLVANIA, INC.",Aetna Inc.,3,5,Not enough data available,4,4,5,4,4,5,4,4,1,4,5,5
H3962,Local CCP,"Keystone Health Plan Central, Inc.","KEYSTONE HEALTH PLAN CENTRAL, INC.",Capital BlueCross,4,1,Not enough data available,3,4,5,3,4,4,3,4,1,5,5,5
H3979,Local CCP,Blue Cross Blue Shield of OK,"GHS HEALTH MAINTENANCE ORGANIZATION, INC.",Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3992,Demo,"ProCare Health Plan, Inc.","PROCARE HEALTH PLAN, INC.","Vanguard Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4003,Local CCP,Medicare y Mucho Mßs,"MMM HEALTHCARE, INC.",InnovaCare Inc.,1,1,4,4,1,3,4,5,2,3,4,5,1,1,1
H4004,Local CCP,"Preferred Medicare Choice, Inc.","PREFERRED MEDICARE CHOICE, INC.",InnovaCare Inc.,1,1,Not enough data available,4,1,3,5,5,2,3,3,5,1,1,1
H4005,Local CCP,"Triple-S Salud, Inc.","TRIPLE-S SALUD, INC.",Triple-S Management Corporation,1,5,Not enough data available,1,1,3,5,4,2,4,3,5,1,2,1
H4006,Local CCP,MCS Classicare,"MCS ADVANTAGE, INC.","Medical Card System, Inc.",3,2,1,3,3,2,4,4,2,4,4,5,1,1,1
H4007,Local CCP,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.","HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,3,3,Not enough data available,2,5,2,5,5,2,4,4,5,1,1,1
H4011,Local CCP,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.",1,4,Not enough data available,3,3,5,5,5,2,3,3,5,1,1,1
H4012,Local CCP,"Triple-S Salud, Inc.","TRIPLE-S SALUD, INC.",Triple-S Management Corporation,1,5,No data available,1,1,1,3,5,2,4,2,5,1,1,1
H4036,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",4,5,No data available,1,2,3,3,1,4,3,4,4,5,5,5
H4079,Demo,"UnitedHealthcare of Washington, Inc.","UNITEDHEALTHCARE OF WASHINGTON, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4102,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealth Group, Inc.",3,5,1,4,1,5,4,4,4,4,4,3,5,5,4
H4123,Local CCP,MercyCare Health Plans,"MERCYCARE HMO, INC.","Mercy Alliance, Inc.",5,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,4,3,3,Not enough data available,5,5
H4125,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,1,1,No data available,1,4,3,1,1,3,4,4,4,2,2,1
H4141,Local CCP,"Humana Employers Health Plan of Georgia, Inc.","HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",Humana Inc.,5,5,Not enough data available,1,5,4,4,4,3,4,5,3,3,3,3
H4145,Local CCP,"Humana Regional Health Plan, Inc.","HUMANA REGIONAL HEALTH PLAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4152,Local CCP,Blue Cross & Blue Shield of Rhode Island,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,Blue Cross & Blue Shield of Rhode Island,4,1,1,4,1,5,3,1,4,4,5,2,5,5,4
H4199,Local CCP,FLORIDA HEALTHCARE PLUS,"FLORIDA HEALTHCARE PLUS, INC.","Florida Healthcare Plus, Inc.",1,5,No data available,1,4,1,Not enough data available,No data available,No data available,4,4,5,4,2,1
H4209,Local CCP,Blue Cross Blue Shield of South Carolina,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,BlueCross BlueShield of South Carolina (BCBSSC),3,1,3,3,5,1,3,1,4,4,4,2,2,2,2
H4211,Local CCP,Amerigroup,"AMGP GEORGIA MANAGED CARE COMPANY, INC.","WellPoint, Inc.",2,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,4,4,Not enough data available,Not enough data available,1,1
H4213,PFFS,ARKANSAS BLUE CROSS AND BLUE SHIELD,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,4,1,1,2,5,5,3,2,5,4,4,2,3,3,3
H4227,Local CCP,"Vista Health Plan, Inc.","VISTA HEALTH PLAN, INC.",Independence Blue Cross,3,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4268,PFFS,America's 1st Choice Insurance Company of NC,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",3,5,No data available,1,4,1,1,4,2,4,3,3,2,1,1
H4270,Local CCP,UCare,"UCARE HEALTH, INC.",UCare Minnesota,3,3,Not enough data available,4,5,5,3,2,4,3,5,1,5,5,5
H4279,Local CCP,UPMC for You,"UPMC FOR YOU, INC",University of Pittsburgh Medical Center,5,5,1,5,5,5,Not enough data available,5,4,4,2,2,5,5,5
H4337,Demo,CoventryCares Advantage,"COVENTRY HEALTH CARE OF VIRGINIA, INC.",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4346,Local CCP,CareMore Health Plan of Nevada,CAREMORE HEALTH PLAN OF NEVADA,"WellPoint, Inc.",1,5,Not enough data available,2,4,3,4,5,4,4,4,5,3,4,4
H4406,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",3,5,Not enough data available,1,1,2,4,4,4,4,3,2,2,2,2
H4407,Local CCP,Cigna-HealthSpring,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,1,5,Not enough data available,3,4,4,5,4,5,4,3,5,2,2,2
H4408,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,2,Not enough data available,3,5,2,3,4,3,4,5,4,4,4,3
H4454,Local CCP,Cigna-HealthSpring,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,1,3,Not enough data available,3,4,5,5,4,4,4,3,4,3,4,3
H4456,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",3,5,4,3,1,3,5,4,5,4,3,2,4,4,4
H4461,Local CCP,"Cariten Health Plan, Inc.",CARITEN HEALTH PLAN INC.,Humana Inc.,5,3,5,3,5,5,5,4,4,4,5,2,5,4,4
H4465,Demo,"Independence Care System, Inc.","INDEPENDENCE CARE SYSTEM, INC.",Paraprofessional Healthcare Institute,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4506,Local CCP,Universal American Corp.,"SELECTCARE OF TEXAS, INC.",Universal American Corp.,3,4,Not enough data available,3,1,5,5,5,4,4,4,5,4,4,4
H4510,Local CCP,"HUMANA HEALTH PLAN OF TEXAS, INC.","HUMANA HEALTH PLAN OF TEXAS, INC.",Humana Inc.,5,4,4,2,5,3,4,4,2,4,5,5,2,3,2
H4513,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,1,4,Not enough data available,3,4,5,5,5,5,4,3,5,2,3,2
H4514,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, LLC","UnitedHealth Group, Inc.",2,5,Not enough data available,1,1,3,5,4,4,4,3,5,2,2,2
H4520,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,2,Not enough data available,1,5,2,3,3,2,4,5,4,3,3,3
H4522,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,4,Not enough data available,4,1,5,5,4,2,4,3,5,2,3,2
H4523,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (TX)",Aetna Inc.,5,2,Not enough data available,1,1,4,2,2,2,4,4,5,1,2,2
H4524,Local CCP,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,5,4,Not enough data available,3,1,5,3,4,2,4,3,4,3,4,4
H4525,Local CCP,FirstCare Advantage,"SHA, L.L.C",Covenant Health - Hendrick Medical Center,2,2,No data available,5,4,5,3,4,4,4,3,5,2,2,3
H4527,Local CCP,PHYSICIANS HEALTH CHOICE,PHYSICIANS HEALTH CHOICE OF TEXAS LLC,"UnitedHealth Group, Inc.",3,2,No data available,2,1,3,4,4,3,4,3,5,2,3,2
H4528,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,1,5,Not enough data available,1,4,1,4,4,2,4,4,5,1,2,1
H4564,1876 Cost,Scott and White Health Plan SeniorCare,SCOTT AND WHITE HEALTH PLAN,Scott and White Healthcare,Plan not required to report measure,No data available,2,5,4,5,3,5,5,4,2,4,5,5,5
H4590,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC.","UnitedHealth Group, Inc.",2,5,4,3,1,5,5,4,4,4,3,5,3,3,2
H4604,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF UTAH, INC.","UnitedHealth Group, Inc.",3,5,4,3,1,4,4,4,5,4,3,5,4,4,4
H4605,Local CCP,Regence BlueCross BlueShield of Utah,REGENCE BLUECROSS BLUESHIELD OF UTAH,"Cambia Health Solutions, Inc.",3,1,5,5,4,5,4,2,4,4,2,4,5,4,4
H4606,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,1,No data available,1,5,1,3,2,2,4,5,5,5,4,4
H4712,Demo,Idaho Care Plus,"BLUE CROSS OF IDAHO CARE PLUS, INC.","Blue Cross of Idaho Health Services, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4738,Local CCP,"America's 1st Choice Health Plans, Inc.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Holdings of S.C., LLC",3,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,3,3,1,1,1,1
H4740,Demo,ArchCare Community Advantage,"CATHOLIC MANAGED LONG TERM CARE, INC.",Catholic Health Care System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4754,Local CCP,PacificSource Medicare,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Health Plans,3,1,Not enough data available,3,4,5,Not enough data available,4,4,4,4,2,4,4,4
H4837,Local CCP,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",5,1,Not enough data available,1,1,4,3,4,4,4,2,5,1,1,1
H4866,Local CCP,Access Medicare,CUATRO LLC,Cuatro LLC.,1,5,No data available,2,4,1,5,4,No data available,4,3,5,2,1,1
H4871,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,1,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4875,Local CCP,Priority Health Medicare,PRIORITY HEALTH,Spectrum Health System,1,5,No data available,3,4,3,5,4,5,4,5,2,5,5,5
H4876,Local CCP,Constellation Health,"CONSTELLATION HEALTH, LLC.","Constellation Health, LLC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4909,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF VIRGINIA, INC.","WellPoint, Inc.",5,3,No data available,2,3,No data available,5,4,3,3,3,4,4,4,4
H4910,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,5,Not enough data available,No data available,3,1,Not enough data available,Not enough data available,No data available,No data available,4,5,5,2,4,3
H4956,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,5,No data available,3,5,1,4,5,3,4,5,3,3,3,2
H5005,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF WASHINGTON, INC.","UnitedHealth Group, Inc.",3,5,1,3,1,5,4,2,4,4,3,4,5,5,5
H5008,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,No data available,2,1,5,3,4,4,4,1,1,5,5,5
H5009,Local CCP,Regence BlueShield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",3,1,Not enough data available,4,5,5,3,1,4,4,3,4,5,5,5
H5010,Local CCP,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,"Cambia Health Solutions, Inc.",3,1,No data available,5,5,4,3,1,4,4,2,4,5,4,5
H5041,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,4,Not enough data available,3,5,3,4,4,3,3,5,5,5,4,4
H5042,Local CCP,CDPHP Medicare Choices,"CDPHP UNIVERSAL BENEFITS, INC.","Capital District Physicians' Health Plan, Inc.",5,5,No data available,3,5,5,4,4,4,4,5,3,5,5,5
H5048,Local CCP,"Coventry Health Care of Texas, Inc.","COVENTRY HEALTH CARE OF TEXAS, INC.",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5050,Local CCP,Group Health Cooperative,GROUP HEALTH COOPERATIVE,Group Health Cooperative,2,2,Not enough data available,5,4,5,3,5,5,4,4,5,5,5,5
H5087,Local CCP,Easy Choice Health Plan,EASY CHOICE HEALTH PLAN INC.,"WellCare Health Plans, Inc.",1,1,4,2,2,2,4,4,No data available,4,1,5,2,3,2
H5106,Local CCP,Highmark Health Insurance Company,HM HEALTH INSURANCE COMPANY,Highmark,3,3,4,3,4,3,3,2,5,4,2,2,5,4,4
H5141,Local CCP,CarePoint Health Plans,CAREPOINT INSURANCE COMPANY,IJKG Opco LLC,3,Plan too new to be measured,Not enough data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5151,Local CCP,The Health Plan,HEALTH PLAN OF THE UPPER OHIO VALLEY,Health Plan of the Upper Ohio Valley,1,5,No data available,5,5,5,3,4,5,4,3,1,5,5,4
H5172,Demo,Community Health Group,COMMUNITY HEALTH GROUP,Community Health Group,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
