2011 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,Drug Plan Customer Service,,,,,,,Drug Plan Member Complaints and Medicare Audit Findings,,,Member Experience with Drug Plan,,,Drug Pricing and Patient Safety,,,,,
H7526,Medica Health Plans,MEDICA HEALTH PLANS,0:27,0:15,86.7%,81.9,20.7,No appeals required review,93.3%,0.82,0.41,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.0%,96.4,14.0%,83.6%,,
H7678,"Molina Healthcare of Texas, Inc.","MOLINA HEALTHCARE OF TEXAS, INC.",0:27,0:29,57.3%,76.4,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.9%,98.4,24.0%,87.4%,,
H7731,MD Care Health Plan,"MD CARE, INC.",0:42,1:00,83.9%,79.6,3.6,Not enough data available to calculate measure,44.7%,0.31,0.19,No data available,77.4%,87.3%,90.7%,94.1%,93.6,25.8%,86.9%,,
H7787,HealthSpring Medicare Advantage PPO,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",0:46,0:48,78.6%,84.0,23.5,Not enough data available to calculate measure,79.4%,0.93,0.76,No data available,80.3%,82.0%,89.7%,99.1%,97,27.6%,86.6%,,
H7908,Aetna Medicare,AETNA HEALTH,0:36,0:30,64.0%,51.0,14.2,Not enough data available to calculate measure,100.0%,0.57,0.57,No data available,70.8%,72.9%,86.0%,99.8%,98.7,7.8%,91.8%,,
H7917,BlueCross BlueShield of Tennessee,BLUE CROSS BLUE SHIELD OF TENNESSEE,0:43,0:11,78.4%,86.1,3.9,Not enough data available to calculate measure,95.7%,0.55,0.27,No data available,84.0%,81.3%,92.5%,98.3%,98.9,26.3%,82.6%,,
H7949,SecureHorizons by UnitedHealthcare,"PACIFICARE OF NEVADA, INC.",Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,0.0,No appeals required review,100.0%,0.00,0.14,No data available,74.8%,84.1%,91.5%,83.9%,Not enough data available to calculate measure,20.4%,90.0%,,
H8050,Carilion Clinic Medicare Health Plan,"CARILION CLINIC MEDICARE RESOURCES, LLC",0:30,0:39,78.3%,82.6,Plan too new to be measured,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,96.6%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H8091,Arkansas Blue Cross and Blue Shield,ARKANSAS BLUE CROSS AND BLUE SHIELD,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H8098,"Universal Health Care Insurance Company, Inc.",UNIVERSAL HEALTH CARE INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H8130,Molina Healthcare of Florida,"MOLINA HEALTHCARE OF FLORIDA, INC.",0:30,0:27,57.3%,76.4,Plan too new to be measured,No appeals required review,87.5%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H8145,Humana Insurance Company,HUMANA INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H8189,Advantage by Managed Health Services,"MANAGED HEALTH SERVICES, WISCONSIN",0:39,0:34,62.9%,54.2,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,
H8319,"Universal Health Care Insurance Company, Inc.","UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H8393,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE CO. (NEBRASKA),0:34,0:41,69.2%,74.3,Not enough data available to calculate measure,No appeals required review,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,21.1%,79.1%,,
H8558,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,0:34,1:20,55.6%,2.1,Plan too new to be measured,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H8578,"Health New England, Inc.","HEALTH NEW ENGLAND, INC.",1:10,0:32,70.6%,76.4,0.0,No appeals required review,13.0%,0.25,0.10,No data available,85.0%,85.9%,92.7%,98.1%,102.2,10.1%,79.7%,,
H8604,Health Plan SecureChoice,THP INSURANCE COMPANY,0:06,0:39,88.9%,77.8,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,98.3%,Not enough data available to calculate measure,20.1%,72.5%,,
H8644,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,1.7,80.0%,65.6%,0.70,0.45,No data available,83.4%,80.4%,87.4%,99.9%,98.1,26.3%,85.8%,,
H8649,Altius Health Plans,"ALTIUS HEALTH PLANS, INC. (UTAH)",0:34,0:41,69.2%,74.3,60.7,Not enough data available to calculate measure,96.1%,0.14,0.46,No data available,70.1%,76.8%,88.8%,99.3%,Not enough data available to calculate measure,19.7%,85.6%,,
H8684,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,0:34,0:30,64.0%,50.7,Plan too new to be measured,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H8707,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:02,1:06,76.2%,67.9,12.2,Not enough data available to calculate measure,66.7%,0.34,0.21,No data available,82.9%,84.4%,92.0%,99.5%,98.6,25.7%,86.3%,,
H8742,Universal American,"ABRI HEALTH PLAN, INC",0:10,0:27,69.0%,67.4,3.4,No appeals required review,88.2%,0.46,0.46,No data available,71.1%,80.2%,88.0%,98.2%,97.8,17.0%,86.4%,,
H8748,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:38,0:38,64.8%,70.7,0.0,Not enough data available to calculate measure,100.0%,0.86,0.51,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.6%,97.7,14.9%,88.0%,,
H8822,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",0:25,1:30,71.8%,73.6,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.3%,97.9,22.4%,89.8%,,
H8953,"Humana Health Plan of Ohio, Inc.","HUMANA HEALTH PLAN OF OHIO, INC.",1:02,1:06,76.2%,67.9,Plan too new to be measured,Not enough data available to calculate measure,71.2%,0.38,0.38,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.9%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H8980,HealthAmerica,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,0:28,0:39,69.2%,74.3,0.0,Not enough data available to calculate measure,100.0%,0.00,0.68,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.0%,Not enough data available to calculate measure,22.2%,86.2%,,
H8991,AMERIGROUP Community Care,"AMERIGROUP FLORIDA, INC.",0:27,0:53,68.6%,81.3,20.7,Not enough data available to calculate measure,42.9%,0.60,1.38,17,78.4%,81.5%,87.1%,99.9%,98,27.8%,87.9%,,
H9001,Fallon Community Health Plan,FALLON COMMUNITY HEALTH PLAN,0:43,1:00,78.6%,61.9,0.0,Not enough data available to calculate measure,73.7%,0.13,0.07,No data available,83.1%,84.1%,92.1%,97.0%,96.6,13.6%,79.1%,,
H9003,Kaiser Permanente,KAISER FOUNDATION HP OF THE N W,0:08,0:09,68.9%,86.0,0.8,Not enough data available to calculate measure,96.1%,0.09,0.05,No data available,90.2%,90.4%,96.6%,99.5%,99,13.5%,88.8%,,
H9011,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.",0:35,0:38,56.2%,66.2,0.0,No appeals required review,100.0%,0.49,0.84,No data available,77.0%,82.5%,89.6%,98.9%,97,18.3%,84.3%,,
H9047,Providence Health Plan,PROVIDENCE HEALTH PLAN,0:13,0:39,84.4%,81.3,0.0,Not enough data available to calculate measure,25.4%,0.01,0.01,No data available,87.2%,86.0%,93.4%,75.3%,96.6,17.3%,85.5%,,
H9082,"Molina Healthcare of New Mexico, Inc.","MOLINA HEALTHCARE OF NEW MEXICO, INC.",0:16,0:27,57.3%,76.4,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.9%,97.5,21.0%,95.2%,,
H9104,SCAN Health Plan,SCAN HEALTH PLAN,0:35,1:36,83.7%,83.9,2.5,Not enough data available to calculate measure,62.0%,0.05,0.09,No data available,87.5%,90.6%,91.5%,100.0%,88.4,23.4%,85.0%,,
H9184,Bravo Health,"BRAVO HEALTH MID-ATLANTIC, INC.",0:23,0:39,67.7%,74.3,Plan too new to be measured,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H9302,Puget Sound Health Partners,"PUGET SOUND HEALTH PARTNERS, INC.",0:24,0:22,83.1%,86.0,0.0,No appeals required review,33.5%,0.08,0.30,No data available,84.2%,82.8%,90.6%,96.6%,96,17.6%,81.0%,,
H9385,SCAN Health Plan Arizona,SCAN HEALTH PLAN OF ARIZONA,0:24,1:30,86.4%,85.2,0.0,Not enough data available to calculate measure,93.9%,0.48,0.13,No data available,81.3%,85.3%,90.3%,99.1%,89.5,28.8%,83.4%,,
H9503,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:12,1:13,76.2%,67.9,0.0,Not enough data available to calculate measure,42.1%,0.99,0.44,No data available,81.5%,78.0%,88.3%,97.9%,98.6,21.2%,87.8%,,
H9572,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,0:41,1:12,75.3%,30.6,Plan too new to be measured,37.5%,87.2%,0.37,0.07,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.2%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H9615,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",0:52,0:39,82.5%,77.1,0.0,Not enough data available to calculate measure,98.1%,0.23,0.23,No data available,80.2%,77.9%,89.7%,98.9%,Not enough data available to calculate measure,14.4%,81.8%,,
H9670,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",0:24,1:15,80.3%,65.3,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,83.3%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,,
H9720,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",1:22,0:14,86.2%,81.9,0.0,No appeals required review,45.2%,0.55,0.39,No data available,83.3%,83.2%,89.9%,95.8%,98.1,25.7%,84.7%,,
H9779,"Guardian Healthcare, Inc.","GUARDIAN HEALTHCARE, INC.",0:25,1:02,58.3%,27.1,Plan too new to be measured,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,95.9%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H9847,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,0:30,0:39,69.2%,74.3,4.0,Not enough data available to calculate measure,94.0%,0.37,0.37,No data available,80.7%,79.3%,88.2%,99.1%,Not enough data available to calculate measure,20.0%,85.7%,,
H9859,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",0:52,0:39,82.5%,77.1,1.8,Not enough data available to calculate measure,96.6%,0.25,0.10,No data available,85.3%,83.4%,91.2%,98.5%,Not enough data available to calculate measure,15.4%,82.7%,,
H9988,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,0:38,1:15,55.6%,2.1,Plan too new to be measured,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
R3175,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:36,0:28,61.0%,72.6,0.0,Not enough data available to calculate measure,100.0%,0.09,0.22,No data available,73.7%,78.2%,86.0%,99.7%,95.5,10.6%,83.8%,,
R3332,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS AND BLUE SHIELD OF FL, INC.",0:42,0:20,57.3%,25.2,Plan too new to be measured,Not enough data available to calculate measure,94.4%,0.73,0.67,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,96.6%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
R3444,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,0:36,0:41,69.4%,73.6,1.1,No appeals required review,10.6%,0.91,0.99,8,84.1%,83.5%,91.3%,95.4%,Not enough data available to calculate measure,33.6%,83.2%,,
R5287,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:37,0:38,64.8%,70.7,2.9,39.1%,98.7%,0.47,0.43,20,78.0%,78.5%,88.8%,99.3%,97.3,16.9%,84.1%,,
R5342,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,0:36,0:38,64.8%,70.7,4.5,20.0%,93.6%,0.47,0.48,20,78.5%,75.7%,86.4%,99.4%,97.4,14.1%,83.5%,,
R5566,MedicareBlue PPO,"BCBS MN, MT, NE, ND, WY, WELLMARK IA AND SD",0:28,0:08,83.9%,93.1,0.0,Not enough data available to calculate measure,75.9%,0.09,0.11,No data available,74.6%,75.9%,89.0%,97.9%,97.8,11.6%,84.2%,,
R5674,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",1:22,2:49,59.5%,29.7,0.0,Not enough data available to calculate measure,55.0%,0.55,0.26,No data available,75.6%,71.7%,85.1%,100.0%,96.6,9.9%,83.8%,,
R5826,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,9.3,35.5%,67.0%,0.42,0.24,No data available,81.8%,79.9%,88.7%,98.9%,98.1,23.3%,84.4%,,
R5941,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",0:42,0:53,57.5%,43.1,5.0,50.0%,96.0%,0.41,0.32,No data available,82.6%,77.0%,89.1%,99.9%,Not enough data available to calculate measure,21.1%,82.1%,,
R6801,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,0:36,0:41,69.4%,73.6,3.3,No appeals required review,11.5%,0.68,0.77,8,83.1%,83.2%,88.3%,96.1%,Not enough data available to calculate measure,31.6%,85.6%,,
R7439,Akamai Advantage,HAWAII MEDICAL SERVICE ASSOCIATION,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
R7444,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:38,0:38,61.2%,72.0,5.6,Not enough data available to calculate measure,99.3%,0.56,0.39,No data available,77.7%,78.6%,89.2%,99.6%,97.2,9.3%,81.3%,,
R9896,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO,0:37,0:39,69.4%,73.6,1.9,Not enough data available to calculate measure,7.4%,0.54,0.62,8,86.6%,86.0%,90.8%,94.7%,Not enough data available to calculate measure,34.4%,85.3%,,
R9943,Anthem Blue Cross Life & Health Insurance Company,ANTHEM BLUE CROSS LIFE AND HEALTH INSURANCE CO.,0:40,0:42,57.5%,43.4,6.6,64.7%,99.6%,0.69,0.60,No data available,72.4%,73.8%,86.7%,99.8%,Not enough data available to calculate measure,17.0%,86.9%,,
S0043,"Preferred Medicare Choice, Inc.","PREFERRED MEDICARE CHOICE, INC.",0:21,1:13,71.3%,44.4,0.0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.29,0.19,13,75.8%,75.1%,81.3%,Not enough data available to calculate measure,90.5,23.3%,83.4%,,
S0197,First Health Part D,CAMBRIDGE LIFE INSURANCE COMPANY,0:23,0:39,70.9%,81.7,0.0,No appeals required review,90.9%,0.03,0.29,No data available,77.4%,77.0%,89.0%,98.3%,Not enough data available to calculate measure,14.8%,80.5%,,
S0655,Tufts Health Plan,TUFTS INSURANCE COMPANY,1:31,0:53,79.9%,61.8,Plan too new to be measured,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,90.6%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
S1030,BlueRx,BCBS OF ALABAMA AND BCBS OF TENNESSEE,0:08,0:11,66.7%,64.6,1.7,80.0%,97.9%,0.23,0.18,No data available,80.9%,81.0%,89.3%,99.6%,98.7,34.7%,81.3%,,
S1131,SummaCare Secure,SUMMA INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
S2321,AmeriHealth Rx,QCC INS CO D/B/A AMERIHEALTH INS CO,0:22,0:49,80.0%,80.6,0.0,0.0%,80.0%,0.35,0.31,No data available,74.5%,75.0%,86.0%,98.9%,97.2,36.8%,80.3%,,
S2468,Blue Shield of California,CA PHYSICIANS' SERVICE DBA BLUE SHIELD OF CA,0:32,0:14,66.8%,74.8,7.7,50.0%,81.5%,0.10,0.20,No data available,74.2%,81.5%,89.4%,93.7%,95.9,21.0%,83.6%,,
S2505,Windsor Rx,"WINDSOR HEALTH PLAN, INC",0:23,0:22,67.9%,81.8,0.9,40.0%,99.0%,0.21,0.18,33,76.1%,77.5%,86.4%,99.8%,96.5,33.2%,82.1%,,
S2770,AmeriHealth Advantage,QCC INS CO D/B/A AMERIHEALTH INS CO,0:38,0:25,79.6%,75.7,0.0,12.0%,98.7%,0.12,0.20,No data available,74.9%,80.6%,87.9%,98.7%,96.7,23.2%,80.4%,,
S2874,"Humana Insurance of Puerto Rico, Inc","HUMANA INSURANCE OF PUERTO RICO, INC",1:16,1:07,80.0%,66.7,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,97.9,24.0%,88.1%,,
S2893,Blue MedicareRx,BCBS RI & BCBS MA & BCBS VT & ANTHEM INSURANCE CO.,0:25,1:00,77.4%,86.7,1.3,41.1%,84.9%,0.21,0.22,20,78.0%,80.8%,89.5%,100.0%,93.3,14.8%,81.7%,,
S3389,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC",0:24,1:15,80.3%,65.3,0.0,No appeals required review,81.8%,0.08,0.41,No data available,83.3%,86.0%,90.9%,96.9%,96.9,22.0%,78.6%,,
S3440,Alliance Medicare Rx,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,0:35,0:18,71.1%,81.8,0.0,No appeals required review,0.0%,0.80,0.99,No data available,76.7%,77.2%,87.1%,91.2%,96.3,28.8%,80.1%,,
S3521,Simply Prescriptions,"EXCELLUS HEALTH PLAN, INC",0:27,0:43,81.7%,87.5,0.5,Not enough data available to calculate measure,82.1%,0.11,0.15,No data available,78.9%,88.1%,92.4%,99.7%,98.7,18.6%,82.9%,,
S4219,Health Alliance Medicare Prescription Plan,HEALTH ALLIANCE MEDICAL PLANS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
S4802,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,0:30,1:12,55.6%,2.1,1.4,42.9%,73.8%,0.16,0.21,No data available,80.3%,80.7%,87.6%,98.3%,95.8,20.1%,81.3%,,
S5540,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,0:07,0:39,83.4%,84.7,5.6,57.1%,93.9%,0.14,0.07,No data available,81.2%,82.5%,91.2%,99.8%,Not enough data available to calculate measure,30.2%,83.1%,,
S5552,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,1:02,1:06,76.2%,67.9,14.8,29.4%,50.9%,0.29,0.39,No data available,76.9%,76.7%,86.2%,98.4%,97.7,17.1%,83.7%,,
S5555,MCS Classicare,"MCS ADVANTAGE, INC.",1:03,1:12,66.7%,9.0,0.0,Not enough data available to calculate measure,97.9%,0.36,0.36,4,67.4%,75.2%,83.8%,Not enough data available to calculate measure,95.8,30.4%,84.7%,,
S5569,First Health Part D,CAMBRIDGE LIFE INSURANCE COMPANY,0:28,0:39,70.9%,81.7,0.0,Not enough data available to calculate measure,83.2%,0.22,0.42,No data available,76.1%,78.4%,85.6%,99.4%,Not enough data available to calculate measure,18.4%,84.7%,,
S5580,First United American Life Insurance Company,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,1:52,0:39,64.8%,43.8,0.0,Not enough data available to calculate measure,29.7%,0.46,0.30,No data available,78.9%,82.3%,88.2%,99.1%,Not enough data available to calculate measure,14.7%,82.5%,,
S5584,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,0:34,1:12,75.3%,30.6,8.8,59.1%,97.0%,0.18,0.10,No data available,78.9%,80.8%,89.3%,99.7%,96.3,24.8%,76.9%,,
S5585,HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,0:56,0:39,76.5%,85.4,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,94.7%,Not enough data available to calculate measure,14.0%,70.8%,,
S5593,Highmark Senior Resources Inc.,HIGHMARK SENIOR RESOURCES INC.,0:14,0:39,85.4%,93.8,3.3,47.6%,85.0%,0.08,0.10,No data available,84.9%,80.5%,90.6%,99.8%,97.6,20.1%,79.0%,,
S5596,Blue MedicareRx,"ANTHEM INSURANCE COMPANIES, INC.",0:41,0:42,57.5%,43.1,7.5,46.4%,98.3%,0.11,0.13,No data available,75.7%,77.3%,86.9%,99.9%,Not enough data available to calculate measure,23.8%,82.0%,,
S5601,SilverScript Insurance Company,SILVERSCRIPT INSURANCE COMPANY,0:44,1:03,73.7%,70.6,0.9,40.9%,99.1%,0.16,0.22,8,79.0%,79.7%,87.0%,99.9%,96.9,26.7%,82.8%,,
S5609,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,0:27,0:39,76.7%,79.0,8.7,Not enough data available to calculate measure,79.4%,0.08,0.04,No data available,79.8%,79.3%,89.5%,99.8%,94.7,23.5%,83.2%,,
S5617,CIGNA Medicare Rx,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,0:07,1:32,72.3%,76.9,12.4,43.8%,99.7%,0.11,0.14,No data available,75.7%,80.8%,88.6%,99.9%,95.9,27.1%,82.4%,,
S5644,RxAmerica,ACCENDO INSURANCE COMPANY,0:42,0:26,71.0%,69.4,1.6,34.0%,98.7%,0.14,0.19,19,76.8%,78.5%,85.7%,99.6%,96.9,24.6%,81.8%,,
S5660,Medco Medicare Prescription Plan,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,0:36,0:41,82.8%,82.6,0.6,83.3%,99.6%,0.06,0.13,No data available,83.2%,81.6%,88.3%,99.9%,98.5,23.2%,82.5%,,
S5670,First Health Part D,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,0:33,0:41,70.9%,81.7,CMS identified issue with Plan’s data,52.0%,85.0%,0.10,0.15,0,79.3%,78.1%,87.5%,99.5%,Not enough data available to calculate measure,24.7%,81.1%,,
S5674,First Health Part D,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,0:35,0:40,70.9%,81.7,0.1,47.2%,92.7%,0.11,0.17,No data available,79.6%,77.5%,86.7%,99.1%,Not enough data available to calculate measure,20.8%,81.5%,,
S5678,Health Net,HEALTH NET LIFE INS CO/HEALTH NET INS OF NY,1:15,0:54,77.1%,86.8,0.2,44.6%,80.2%,0.13,0.39,41,74.2%,78.5%,86.0%,99.2%,96.7,22.7%,83.9%,,
