Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievances - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan - DMC15,Timely Receipt of Case Files - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Call Center – Information Accuracy - DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Atypical Antipsychotic Rate - DMD13
H2960,HOMETOWN HEALTH PLAN,Renown Health,Local CCP,Not enough data available,88%,63%,Not enough data available,87%,74%,26%,91%,0:20,93%,83%,95%,2.46,Plan not required to report measure,0.00%,No data available,100.00%,0.83%,0:36,78.59%,6.8%,0.9%,99.10%,100%,100,2.46,36.3%,19.23%
H2962,"ULTIMATE HEALTH PLANS, INC.","ULTIMATE HEALTH PLAN, INC.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2997,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.","WellPoint, Inc.",Local CCP,44%,76%,69%,81%,91%,82%,Not enough data available,91%,0:51,87%,77%,97%,Not enough data available,Plan not required to report measure,0.88%,100.00%,No data available,0.89%,0:51,62.77%,7.6%,1.0%,99.90%,100%,99,No data available,10.1%,22.30%
H3028,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,Not enough data available,98%,Not enough data available,Not enough data available,90%,67%,Not enough data available,89%,0:41,89%,69%,91%,2.48,Plan not required to report measure,0.45%,No data available,No data available,0.45%,0:41,87.13%,5.5%,1.1%,100.00%,100%,100,2.48,4.2%,No Data Available
H3044,"NHP OF INDIANA, LLC","Neighborhood Health Providers, Inc.",Local CCP,Not enough data available,82%,Not enough data available,Not enough data available,95%,80%,Not enough data available,93%,0:23,79%,83%,98%,0.06,Plan not required to report measure,0.00%,100.00%,100.00%,0.00%,0:20,78.57%,9.6%,1.5%,99.90%,100%,101,0.06,Data issues found,14.29%
H3107,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",Local CCP,60%,80%,50%,85%,90%,71%,37%,90%,0:15,86%,62%,93%,5.40,Plan not required to report measure,0.83%,75.00%,100.00%,0.83%,0:15,74.60%,6.2%,1.1%,99.80%,100%,99,5.40,0.7%,20.97%
H3113,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:23,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,99.0%,0.00%,No data available,No data available,0.00%,0:23,Plan not required to report measure,10.7%,1.4%,99.80%,100%,No Data Available,No data available,0.0%,17.21%
H3132,"AIDS HEALTHCARE FOUNDATION MCO OF FLORIDA, INC.",AIDS Healthcare Foundation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:19,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,Data issues found,0.83%,100.00%,100.00%,7.50%,0:35,Plan not required to report measure,18.8%,0.0%,99.70%,100%,99,No data available,72.7%,No data available
H3144,"COVENTRY HEALTH CARE OF ILLINOIS, INC.",Coventry Health Care Inc.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,0.00%,0:21,89.30%,No data available,No data available,99.40%,100%,No data available,No data available,No data available,No data available
H3152,"AETNA HEALTH, INC. (NJ)",Aetna Inc.,Local CCP,55%,93%,56%,92%,92%,75%,40%,90%,0:22,90%,75%,96%,7.65,55.4%,0.77%,100.00%,66.67%,0.77%,0:22,83.60%,6.6%,0.9%,99.80%,100%,98,7.65,27.4%,20.72%
H3154,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Healthcare Services, Inc.",Local CCP,80%,83%,61%,89%,83%,71%,41%,90%,0:30,81%,72%,95%,1.07,Not enough data available,0.83%,95.35%,100.00%,0.00%,0:18,60.70%,6.8%,0.3%,99.70%,100%,98,1.07,No data available,19.29%
H3156,"AMERIHEALTH HMO, INC",Independence Blue Cross,Local CCP,Not enough data available,72%,Not enough data available,Not enough data available,90%,75%,Not enough data available,94%,0:16,81%,69%,96%,1.18,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:16,86.16%,6.3%,0.8%,100.00%,100%,99,1.18,No data available,No Data Available
H3164,"AMERICHOICE OF NEW JERSEY, INC","UnitedHealth Group, Inc.",Local CCP,32%,86%,44%,Not enough data available,87%,60%,39%,91%,0:26,Plan not required to report measure,44%,92%,6.84,13.7%,0.83%,66.67%,100.00%,0.83%,0:26,Plan not required to report measure,6.9%,0.8%,99.80%,100%,98,6.84,0.6%,No Data Available
H3204,PRESBYTERIAN HEALTH PLAN,Presbyterian Healthcare Services,Local CCP,71%,90%,61%,90%,89%,83%,24%,89%,0:26,88%,76%,95%,3.51,Plan not required to report measure,2.00%,66.67%,No data available,2.00%,0:26,76.55%,5.5%,1.7%,95.10%,100%,99,3.51,3.6%,17.11%
H3206,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian Healthcare Services,Local CCP,Not enough data available,90%,70%,Not enough data available,89%,81%,27%,90%,0:26,88%,81%,96%,2.51,Plan not required to report measure,2.00%,No data available,No data available,2.00%,0:26,76.55%,6.0%,1.5%,88.70%,100%,99,2.51,2.7%,8.33%
H3209,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,88%,58%,Not enough data available,Not enough data available,0:20,Plan not required to report measure,63%,91%,5.69,47.1%,0.00%,100.00%,No data available,0.00%,0:20,Plan not required to report measure,5.6%,1.6%,99.90%,100%,99,5.69,1.1%,25.45%
H3240,"AMERIGROUP NEW JERSEY, INC.",AMERIGROUP Corporation,Local CCP,24%,87%,Not enough data available,Not enough data available,87%,58%,Not enough data available,86%,0:28,81%,47%,88%,2.90,57.2%,2.00%,0.00%,No data available,2.00%,0:28,78.09%,5.6%,0.3%,99.90%,100%,98,2.90,7.1%,No Data Available
H3251,"LOVELACE HEALTH SYSTEM, INC.",Ardent Health Services.,Local CCP,57%,56%,52%,85%,88%,83%,42%,90%,0:44,79%,80%,95%,0.60,Plan not required to report measure,0.67%,75.00%,100.00%,0.67%,0:44,76.22%,6.0%,1.0%,99.40%,100%,100,0.60,61.7%,24.74%
H3283,MEDICA HEALTH PLANS,Medica Holding Company,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,0.00%,0:56,80.26%,No data available,No data available,100.00%,100%,No data available,No data available,No data available,No data available
H3305,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Local CCP,81%,83%,67%,93%,94%,85%,35%,90%,0:21,85%,86%,98%,0.31,Plan not required to report measure,1.00%,100.00%,66.67%,1.00%,0:21,87.57%,7.2%,1.1%,97.50%,96%,99,0.31,3.1%,17.64%
H3307,"OXFORD HEALTH PLANS (NY), INC.","UnitedHealth Group, Inc.",Local CCP,64%,80%,49%,89%,92%,79%,53%,Not enough data available,0:18,86%,68%,93%,4.08,27.5%,1.00%,92.86%,No data available,1.00%,0:18,74.60%,6.3%,1.1%,99.90%,100%,99,4.08,0.4%,22.96%
H3312,"AETNA HEALTH, INC. (NY)",Aetna Inc.,Local CCP,75%,93%,68%,91%,93%,77%,49%,92%,0:22,90%,67%,96%,8.51,Plan not required to report measure,0.77%,100.00%,No data available,0.77%,0:22,83.60%,6.9%,1.1%,99.90%,100%,99,8.51,25.7%,22.81%
H3314,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,88%,Plan too small to be measured,Not enough data available,Plan not required to report measure,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
H3327,"TOUCHSTONE HEALTH HMO, INC.","Touchstone Health Partnership, Inc",Local CCP,31%,80%,57%,91%,77%,71%,42%,89%,0:39,78%,54%,88%,Not enough data available,Not enough data available,0.83%,No data available,No data available,0.83%,0:39,72.22%,6.3%,1.5%,99.40%,96%,99,No data available,0.0%,20.31%
H3328,NEW YORK STATE CATHOLIC HLTH PLAN INC,"The New York State Catholic Health Plan, Inc.",Local CCP,86%,62%,46%,81%,94%,72%,48%,89%,0:32,79%,54%,93%,1.03,36.4%,0.00%,0.00%,No data available,0.00%,0:32,76.58%,7.0%,1.6%,99.30%,100%,100,1.03,0.0%,No Data Available
H3330,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",Local CCP,80%,84%,50%,94%,94%,73%,45%,89%,0:31,88%,66%,95%,0.45,37.6%,10.00%,100.00%,100.00%,10.00%,0:31,88.75%,5.2%,1.0%,99.70%,100%,99,0.45,21.9%,18.17%
H3333,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,PFFS,Not enough data available,93%,Not enough data available,Not enough data available,89%,63%,34%,89%,0:10,89%,68%,94%,Not enough data available,Plan not required to report measure,0.42%,No data available,No data available,0.42%,0:10,71.63%,10.5%,1.5%,97.20%,100%,No Data Available,No data available,No data available,No Data Available
H3335,"EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",Local CCP,84%,59%,64%,88%,92%,88%,39%,90%,0:44,89%,72%,97%,Not enough data available,Plan not required to report measure,0.83%,100.00%,No data available,0.83%,0:44,85.50%,7.8%,1.4%,99.90%,96%,99,No data available,4.8%,19.72%
H3337,"LIBERTY HEALTH ADVANTAGE, INC.","Liberty Health Advantage, Inc.",Local CCP,24%,80%,Not enough data available,Not enough data available,89%,62%,47%,Not enough data available,0:23,86%,50%,80%,0.88,1.9%,0.00%,No data available,No data available,0.00%,0:14,78.69%,4.2%,1.0%,98.80%,96%,99,0.88,0.5%,17.46%
H3342,"EMPIRE HEALTHCHOICE ASSURANCE, INC.","WellPoint, Inc.",Local CCP,73%,0 - Plan reported a Biased Rate,56%,88%,91%,84%,63%,90%,1:03,88%,63%,95%,Not enough data available,Plan not required to report measure,4.18%,66.67%,No data available,4.18%,1:03,63.54%,6.6%,1.2%,99.90%,100%,98,No data available,9.3%,22.50%
H3344,INDEPENDENT HEALTH BENEFITS CORPORATION,"Independent Health Association, Inc.",Local CCP,Not enough data available,80%,Not enough data available,Not enough data available,93%,90%,35%,91%,0:10,91%,78%,98%,Not enough data available,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:10,90.23%,8.9%,0.4%,86.40%,100%,100,No data available,25.5%,10.00%
H3346,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Local CCP,58%,83%,76%,91%,93%,87%,Not enough data available,91%,0:21,85%,82%,98%,0.23,Plan not required to report measure,1.00%,100.00%,100.00%,1.00%,0:21,87.57%,7.6%,1.2%,97.50%,96%,99,0.23,2.4%,18.07%
H3347,"ELDERPLAN, INC.","Elderplan, Inc.",Local CCP,53%,83%,52%,90%,91%,66%,47%,91%,0:47,87%,60%,93%,0.79,93.6%,1.43%,100.00%,100.00%,1.43%,0:47,84.29%,5.0%,1.3%,99.50%,100%,98,0.79,29.0%,16.80%
H3351,"EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",Local CCP,83%,59%,57%,88%,93%,83%,42%,92%,0:44,89%,79%,98%,Not enough data available,Plan not required to report measure,0.83%,100.00%,No data available,0.83%,0:44,85.50%,7.1%,1.2%,99.80%,96%,99,No data available,3.4%,16.75%
H3356,"EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",1876 Cost,Not enough data available,59%,Not enough data available,Not enough data available,49%,Not enough data available,19%,92%,Not enough data available,Not enough data available,83%,97%,Not enough data available,Plan not required to report measure,Not enough data available,No data available,No data available,No data available,No data available,No data available,7.7%,2.8%,100.00%,100%,No Data Available,No data available,No Data Available,18.18%
H3359,"MANAGED HEALTH, INC.","Healthfirst, Inc.",Local CCP,62%,64%,39%,87%,93%,65%,44%,90%,0:35,87%,51%,93%,1.73,Data issues found,0.83%,100.00%,66.67%,0.83%,0:35,77.45%,3.6%,0.7%,99.90%,100%,99,1.73,6.9%,20.68%
H3361,"WELLCARE_OF NEW YORK, INC.","WellCare Health Plans, Inc.",Local CCP,64%,84%,37%,82%,91%,69%,44%,89%,0:40,81%,51%,87%,1.99,40.4%,1.67%,No data available,No data available,1.67%,0:40,76.87%,4.2%,0.4%,99.60%,100%,98,1.99,5.9%,23.08%
H3362,"INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health Association, Inc.",Local CCP,79%,80%,57%,94%,93%,84%,47%,90%,0:10,91%,78%,97%,Not enough data available,Data issues found,0.00%,100.00%,100.00%,0.00%,0:10,90.23%,8.1%,0.4%,82.50%,100%,99,No data available,24.6%,12.81%
H3370,"EMPIRE HEALTHCHOICE HMO, INC.","WellPoint, Inc.",Local CCP,68%,0 - Plan reported a Biased Rate,46%,88%,93%,81%,53%,90%,0:53,88%,67%,96%,Not enough data available,Not enough data available,5.00%,100.00%,100.00%,5.00%,0:53,63.54%,7.5%,1.2%,99.90%,100%,98,No data available,9.0%,18.03%
H3379,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,87%,Not enough data available,97%,66%,27%,89%,0:24,86%,63%,96%,2.14,98.3%,0.14%,No data available,100.00%,0.14%,0:24,74.60%,8.3%,0.7%,99.90%,100%,99,2.14,0.2%,20.52%
H3384,HEALTHNOW NEW YORK INC,HealthNow New York Inc.,Local CCP,77%,73%,59%,95%,91%,77%,38%,90%,0:15,92%,78%,97%,0.15,Plan not required to report measure,0.00%,100.00%,No data available,0.00%,0:15,80.12%,6.9%,0.7%,80.60%,96%,101,0.15,1.9%,13.24%
H3387,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",Local CCP,27%,74%,Not enough data available,Not enough data available,88%,52%,Not enough data available,Not enough data available,0:36,Plan not required to report measure,43%,92%,3.90,15.1%,2.50%,No data available,50.00%,2.50%,0:36,Plan not required to report measure,4.3%,1.0%,99.90%,100%,98,3.90,0.0%,No Data Available
H3388,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.","Capital District Physicians' Health Plan, Inc.",Local CCP,88%,75%,73%,97%,93%,85%,39%,93%,1:01,90%,79%,98%,Not enough data available,Plan not required to report measure,0.00%,0.00%,No data available,0.00%,0:16,84.29%,5.9%,0.9%,99.80%,100%,99,No data available,5.6%,17.53%
H3404,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Local CCP,89%,82%,60%,Not enough data available,92%,83%,44%,90%,0:21,86%,71%,96%,1.13,Plan not required to report measure,0.00%,100.00%,100.00%,0.00%,0:21,81.13%,6.8%,1.4%,99.70%,92%,99,1.13,2.7%,8.33%
H3405,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,53%,98%,52%,86%,92%,73%,Not enough data available,90%,0:41,89%,67%,96%,1.45,Plan not required to report measure,0.38%,100.00%,No data available,0.38%,0:41,87.13%,6.2%,1.0%,100.00%,100%,99,1.45,5.1%,11.11%
H3410,STERLING LIFE INSURANCE COMPANY,Munich American Holding Corporation,PFFS,44%,0 - Plan reported a Biased Rate,49%,Not enough data available,89%,Not enough data available,Not enough data available,90%,0:55,90%,65%,94%,Not enough data available,Plan not required to report measure,1.19%,100.00%,100.00%,1.19%,0:55,80.00%,4.9%,2.8%,100.00%,100%,99,No data available,5.7%,26.09%
H3421,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Holdings of S.C., LLC",PFFS,23%,96%,Not enough data available,Not enough data available,90%,Not enough data available,Not enough data available,91%,0:08,90%,69%,95%,0.14,Plan not required to report measure,0.63%,100.00%,No data available,0.63%,0:08,86.49%,6.8%,1.1%,100.00%,100%,98,0.14,5.6%,No Data Available
H3447,"HEALTHKEEPERS, INC.","WellPoint, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
