CY2014 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievance Rate - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan  - DMC15,Pharmacotherapy Management of COPD Exacerbation - Systemic Corticosteroid - DMC16,Pharmacotherapy Management of COPD Exacerbation - Bronchodilator - DMC17,Initiation of Alcohol or other Drug Treatment - DMC18,Engagement of Alcohol or other Drug Treatment - DMC19,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time- DMD04,Call Center – Information Accuracy- DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD13,Getting Information from Drug Plan - DMD14,Call Center—Pharmacy Hold Time measures - DMD15,Plan Submitted Higher Prices for Display on MPF - DMD16,Enrollment Timeliness - DME01
H3620,AULTCARE INSURANCE COMPANY,Aultman Health Foundation,Local CCP,Not enough data available,83%,Not enough data available,Not enough data available,92%,83%,22%,92%,0:23,87%,73%,98%,1.45,Plan not required to report measure,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:23,93%,8.0%,0.00%,100.00%,100%,101,1.45,18.2%,No data available,88%,0:06,99,No data available
H3623,"AETNA HEALTH,  INC. (PA)",Aetna Inc.,Local CCP,Not enough data available,88%,61%,Not enough data available,91%,76%,34%,92%,0:19,89%,63%,95%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.38%,78%,79%,51%,4%,100%,No data available,0.38%,0:19,85%,5.6%,0.12%,100.00%,100%,100,CMS Found Issues with Plan's Data,56.5%,11.76%,86%,0:10,98,98%
H3635,"HHH CHOICES HEALTH PLAN, LLC","HHCS, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available
H3653,"PARAMOUNT CARE, INC.",Promedica Health System,Local CCP,Not enough data available,84%,61%,91%,89%,81%,32%,91%,0:17,81%,74%,97%,7.57,Plan not required to report measure,0.83%,82%,63%,48%,3%,No data available,No data available,0.83%,0:17,80%,7.1%,1.15%,99.80%,100%,99,7.57,5.8%,23.44%,Not enough data available,0:24,96,98%
H3655,COMMUNITY INSURANCE COMPANY,"WellPoint, Inc.",Local CCP,61%,88%,58%,93%,92%,76%,29%,91%,0:36,88%,74%,95%,0.40,Plan not required to report measure,0.19%,69%,74%,48%,2%,100%,No data available,0.19%,0:36,92%,7.5%,0.90%,99.90%,92%,98,0.40,11.8%,19.77%,Not enough data available,0:06,95,96%
H3659,"UNITEDHEALTHCARE OF OHIO, INC.","UnitedHealth Group, Inc.",Local CCP,59%,76%,56%,89%,91%,73%,28%,89%,0:19,83%,76%,95%,3.33,43.1%,1.98%,70%,76%,43%,3%,100%,87.50%,1.98%,0:19,82%,8.2%,0.98%,99.90%,100%,99,3.33,1.6%,21.09%,82%,0:16,98,96%
H3660,SUMMACARE INC.,Summa Health System,Local CCP,64%,73%,68%,91%,92%,78%,36%,93%,0:47,81%,75%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,76%,78%,46%,5%,100%,No data available,0.00%,0:47,87%,7.3%,0.55%,99.00%,100%,100,CMS Found Issues with Plan's Data,19.1%,20.87%,93%,0:07,90,84%
H3664,AULTCARE INSURANCE COMPANY,Aultman Health Foundation,Local CCP,56%,83%,52%,91%,95%,83%,30%,93%,0:23,87%,76%,97%,2.17,Plan not required to report measure,0.00%,73%,68%,50%,3%,100%,100.00%,0.00%,0:23,93%,8.1%,0.51%,99.40%,100%,101,2.17,16.1%,17.79%,Not enough data available,0:06,98,97%
H3668,"MOUNT CARMEL HEALTH PLAN, INC.",Trinity Health,Local CCP,46%,71%,64%,89%,92%,79%,30%,91%,0:21,85%,74%,97%,1.89,Plan not required to report measure,0.00%,76%,70%,44%,2%,100%,100.00%,0.00%,0:21,88%,7.2%,0.43%,99.90%,100%,99,1.89,11.0%,17.78%,85%,0:15,97,95%
H3672,HOMETOWN HEALTH PLAN,Health Plan of the Upper Ohio Valley,Local CCP,Not enough data available,96%,72%,Not enough data available,92%,76%,45%,93%,0:05,90%,79%,97%,1.71,Plan not required to report measure,0.00%,66%,84%,49%,7%,0%,No data available,0.00%,0:05,88%,8.7%,0.38%,99.90%,100%,102,1.71,1.7%,19.57%,Not enough data available,0:09,96,95%
H3706,"TODAYS OPTIONS OF OKLAHOMA, INC.",Universal American Corp.,Local CCP,Not enough data available,83%,65%,Not enough data available,92%,66%,18%,91%,0:14,90%,76%,93%,CMS Found Issues with Plan’s Data,Plan not required to report measure,2.50%,72%,78%,50%,0%,100%,No data available,2.50%,0:14,88%,7.6%,0.52%,99.90%,100%,99,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,9.09%,Not enough data available,0:20,98,98%
H3708,"SELECTCARE OF OKLAHOMA, INC.",Universal American Corp.,Local CCP,Not enough data available,84%,Not enough data available,Not enough data available,98%,No data available,Not enough data available,No data available,0:03,Plan not required to report measure,No data available,99%,No data available,CMS Found Issues with Plan’s Data,1.25%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.25%,0:03,Plan not required to report measure,14.5%,4.43%,99.40%,100%,97,No Data Available,CMS Found Issues with Plan's Data,30.43%,No data available,0:20,97,No data available
H3712,"PREFERRED MEDICAL PLAN, INC.","Preferred Medical Plan, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,98%
H3749,"UNITEDHEALTHCARE OF OKLAHOMA, INC.","UnitedHealth Group, Inc.",Local CCP,45%,76%,64%,83%,91%,77%,31%,91%,0:15,83%,74%,94%,4.55,Plan not required to report measure,1.15%,73%,80%,27%,1%,100%,100.00%,1.15%,0:15,82%,7.5%,1.38%,99.80%,100%,99,4.55,1.9%,25.32%,Not enough data available,0:16,98,96%
H3755,"COMMUNITY CARE HMO, INC","CommunityCare Managed Healthcare Plans of OK, Inc.",Local CCP,65%,88%,52%,84%,74%,77%,32%,91%,0:13,75%,79%,96%,0.37,Plan not required to report measure,0.50%,72%,87%,47%,3%,33%,100.00%,0.50%,0:13,76%,8.3%,1.34%,99.60%,96%,99,0.37,16.4%,21.60%,Not enough data available,0:16,92,99%
H3794,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3805,"UNITEDHEALTHCARE OF OREGON, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,65%,87%,92%,74%,32%,91%,0:17,83%,84%,96%,3.26,Plan not required to report measure,1.31%,71%,87%,33%,1%,75%,100.00%,1.31%,0:17,82%,5.9%,0.86%,99.60%,100%,101,3.26,2.1%,13.75%,Not enough data available,0:17,97,97%
H3810,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,Mid Rogue IPA Holding Company,Local CCP,Not enough data available,CMS Found Issues with Plan’s Data,59%,Not enough data available,91%,80%,33%,91%,0:10,83%,73%,95%,1.24,91.9%,0.00%,75%,81%,32%,1%,No data available,No data available,0.00%,0:10,89%,8.8%,0.78%,99.60%,100%,98,1.24,13.2%,25.93%,Not enough data available,0:04,96,95%
H3811,"SAMARITAN HEALTH PLANS, INC.",Samaritan Health Services,Local CCP,Not enough data available,84%,65%,Not enough data available,91%,76%,30%,92%,0:28,83%,83%,96%,1.29,CMS Found Issues with Plan’s Data,0.83%,83%,80%,27%,3%,No data available,No data available,0.83%,0:28,73%,5.0%,0.81%,99.80%,100%,100,1.29,13.8%,28.57%,87%,0:22,94,80%
H3812,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,61%,76%,58%,80%,91%,73%,30%,91%,0:16,83%,74%,91%,4.07,97.1%,2.43%,75%,78%,34%,2%,100%,100.00%,2.43%,0:16,82%,4.8%,1.01%,99.90%,100%,98,4.07,1.2%,16.79%,Not enough data available,0:17,97,98%
H3813,"MODA HEALTH PLAN, INC.","Health Services Group, Inc.",Local CCP,Not enough data available,86%,70%,Not enough data available,90%,87%,37%,91%,0:09,89%,77%,96%,0.22,Plan not required to report measure,0.00%,Not enough data available,Not enough data available,38%,3%,No data available,No data available,0.86%,0:19,83%,4.8%,2.12%,99.90%,100%,98,0.22,9.9%,No data available,87%,0:09,98,97%
H3814,ATRIO HEALTH PLANS,ATRIO Health Plans,Local CCP,Not enough data available,91%,Not enough data available,Not enough data available,86%,60%,21%,Not enough data available,0:21,83%,68%,92%,1.20,36.7%,0.00%,51%,81%,46%,10%,No data available,No data available,0.00%,0:21,87%,11.5%,0.56%,99.70%,100%,100,1.20,9.8%,10.00%,Not enough data available,0:09,96,No data available
H3815,CITIZENS CHOICE HEALTHPLAN,Honored Citizens Choice Health Plan,Local CCP,Not enough data available,86%,42%,77%,89%,66%,21%,89%,0:11,79%,72%,94%,0.99,Plan not required to report measure,0.00%,73%,80%,22%,1%,88%,100.00%,0.00%,0:11,84%,8.4%,1.30%,99.80%,100%,101,0.99,CMS Found Issues with Plan's Data,13.33%,83%,0:10,98,99%
H3817,REGENCE BLUECROSS BLUESHIELD OF OREGON,"Cambia Health Solutions, Inc.",Local CCP,65%,75%,62%,90%,92%,81%,31%,91%,0:04,91%,82%,97%,0.25,Plan not required to report measure,0.20%,76%,81%,46%,2%,80%,80.00%,0.20%,0:04,92%,5.9%,1.55%,100.00%,92%,99,0.25,8.4%,19.32%,Not enough data available,0:03,98,96%
H3818,"FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,Local CCP,Not enough data available,81%,45%,Not enough data available,89%,60%,21%,90%,0:12,72%,74%,90%,0.84,CMS Found Issues with Plan’s Data,0.83%,Not enough data available,Not enough data available,35%,0%,No data available,No data available,0.83%,0:12,75%,5.5%,0.78%,99.90%,96%,104,0.84,CMS Found Issues with Plan's Data,11.11%,Not enough data available,0:17,94,No data available
H3822,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,94%
H3832,HAWAII MEDICAL SERVICE ASSOCIATION,Hawaii Medical Service Association,Local CCP,Not enough data available,72%,Not enough data available,Not enough data available,93%,80%,Not enough data available,90%,1:52,89%,72%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,1.02%,Not enough data available,Not enough data available,47%,5%,100%,100.00%,1.02%,1:52,81%,4.1%,0.60%,99.90%,100%,102,CMS Found Issues with Plan's Data,2.6%,3.45%,82%,0:23,98,93%
H3864,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Health Plans,Local CCP,27%,71%,59%,Not enough data available,89%,80%,36%,91%,0:30,84%,81%,96%,0.18,Plan not required to report measure,0.00%,60%,81%,48%,7%,100%,100.00%,0.00%,0:30,90%,5.8%,0.95%,99.70%,92%,99,0.18,15.8%,17.39%,Not enough data available,0:14,94,95%
H3887,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,52%,76%,57%,76%,89%,65%,28%,Not enough data available,0:19,83%,58%,91%,5.58,93.7%,2.23%,61%,69%,52%,5%,100%,100.00%,2.23%,0:19,82%,7.1%,1.00%,99.80%,100%,100,5.58,2.4%,20.85%,Not enough data available,0:16,98,96%
H3907,"UPMC HEALTH PLAN, INC.",University of Pittsburgh Medical Center,Local CCP,68%,79%,64%,91%,93%,75%,38%,91%,0:11,87%,76%,96%,0.78,No data available,0.00%,73%,79%,50%,2%,No data available,100.00%,0.00%,0:11,88%,7.4%,1.02%,99.60%,100%,98,0.78,4.0%,21.84%,Not enough data available,0:24,95,98%
H3909,QCC INSURANCE COMPANY,Independence Blue Cross,Local CCP,Not enough data available,99%,65%,Not enough data available,91%,82%,44%,92%,0:30,86%,76%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,52%,77%,69%,0%,No data available,No data available,0.00%,0:30,82%,5.7%,1.57%,100.00%,100%,No data available,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,26.00%,Not enough data available,0:21,No data available,94%
H3912,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,Not enough data available,Not enough data available,100%,51%,Not enough data available,No data available,0:23,Plan not required to report measure,No data available,100%,0.15,92.7%,1.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,100.00%,1.00%,0:23,Plan not required to report measure,11.0%,0.41%,99.90%,100%,101,0.15,0.0%,22.47%,No data available,0:16,99,No data available
H3916,HIGHMARK HEALTH SERVICES,Highmark,Local CCP,62%,66%,66%,92%,91%,82%,37%,92%,3:47,82%,76%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.77%,74%,78%,51%,3%,95%,93.75%,0.77%,3:47,89%,7.1%,0.81%,99.90%,100%,98,CMS Found Issues with Plan's Data,2.4%,22.94%,Not enough data available,0:09,98,97%
H3920,"UNITEDHEALTHCARE OF PENNSYLVANIA, INC.","UnitedHealth Group, Inc.",Local CCP,59%,88%,51%,91%,89%,58%,25%,92%,0:14,83%,57%,90%,7.27,22.2%,0.00%,71%,83%,45%,4%,100%,50.00%,0.00%,0:14,82%,6.9%,0.69%,99.90%,100%,99,7.27,2.0%,27.50%,Not enough data available,0:16,99,90%
H3921,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,60%,76%,58%,Not enough data available,90%,69%,Not enough data available,90%,0:17,83%,67%,93%,4.91,Plan not required to report measure,1.97%,81%,85%,45%,2%,No data available,No data available,1.97%,0:17,82%,6.5%,1.24%,99.90%,100%,100,4.91,3.1%,31.58%,Not enough data available,0:16,98,97%
H3923,CAPITAL ADVANTAGE INSURANCE COMPANY,Capital BlueCross,Local CCP,71%,81%,68%,89%,92%,80%,40%,90%,0:38,88%,76%,97%,0.32,Plan not required to report measure,0.63%,76%,86%,52%,2%,No data available,No data available,0.63%,0:38,84%,6.4%,1.10%,99.80%,100%,98,0.32,9.0%,27.66%,77%,0:20,98,95%
H3924,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Health System,Local CCP,79%,93%,70%,96%,92%,76%,61%,91%,0:05,80%,69%,96%,0.96,Plan not required to report measure,0.00%,80%,93%,51%,6%,100%,No data available,0.00%,0:12,85%,5.8%,0.73%,99.60%,100%,101,0.96,44.0%,15.38%,Not enough data available,0:04,93,95%
H3928,"COVENTRY HEALTH CARE OF LOUISIANA, INC.",Aetna Inc.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
