CY2011 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,1/1/2009 - 12/31/2009,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,Patient Safety,,,Plan Finder,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,,,,,,,,,,
H3920,UnitedHealthcare Community Plan,"UNISON HEALTH PLAN OF PENNSYLVANIA, INC.",100.00%,Not measured,83.22%,1.67%,8.22%,0.86%,58.56%,91.67%,19.18%,45.63%,82.24%,36.65%,90.63%,44.77%,,,,,,,,,,
H3921,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,94.97%,0.47%,6.65%,3.32%,59.20%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H3923,Capital Advantage Insurance Company,CAPITAL ADVANTAGE INSURANCE COMPANY,0.00%,Not measured,96.67%,0.00%,7.32%,1.16%,69.12%,100.00%,26.85%,Not enough data available to calculate measure,85.17%,73.85%,87.23%,45.26%,,,,,,,,,,
H3924,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,100.00%,Not measured,86.21%,0.83%,5.80%,2.84%,65.43%,100.00%,14.29%,Not enough data available to calculate measure,90.57%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H3931,Aetna Medicare,AETNA HEALTH INC,100.00%,82.35%,Not measured,0.00%,7.03%,1.31%,63.23%,100.00%,17.83%,61.69%,72.28%,51.04%,84.21%,32.62%,,,,,,,,,,
H3949,Bravo Health,BRAVO HEALTH PENNSYLVANIA INC.,100.00%,100.00%,90.53%,0.00%,6.37%,0.59%,50.16%,100.00%,8.56%,36.73%,83.10%,34.55%,84.78%,20.37%,,,,,,,,,,
H3952,Keystone 65,"KEYSTONE HEALTH PLAN EAST, INC.",70.37%,75.00%,81.26%,0.83%,7.60%,1.17%,63.99%,100.00%,28.79%,43.25%,78.50%,47.47%,72.14%,1.70%,,,,,,,,,,
H3954,Geisinger Gold,GEISINGER HEALTH PLAN,66.67%,100.00%,83.98%,0.83%,7.37%,1.89%,68.99%,100.00%,3.27%,87.95%,90.57%,55.56%,99.45%,69.41%,,,,,,,,,,
H3957,"Keystone Health Plan West, Inc.","KEYSTONE HEALTH PLAN WEST, INC.",100.00%,78.57%,82.51%,0.42%,8.11%,0.89%,65.51%,100.00%,7.91%,79.43%,89.89%,53.37%,86.12%,51.34%,,,,,,,,,,
H3959,HealthAmerica,"HEALTHAMERICA PENNSYLVANIA, INC.",100.00%,80.00%,91.40%,0.00%,7.43%,1.14%,62.99%,100.00%,24.20%,82.30%,73.35%,62.11%,83.91%,62.04%,,,,,,,,,,
H3962,"Keystone Health Plan Central, Inc.","KEYSTONE HEALTH PLAN CENTRAL,INC.",0.00%,Not measured,95.72%,0.00%,8.03%,0.99%,68.59%,100.00%,10.21%,73.17%,84.93%,57.14%,88.89%,45.99%,,,,,,,,,,
H3964,Bravo Health,"BRAVO HEALTH PENNSYLVANIA, INC.",100.00%,75.00%,92.93%,0.00%,7.53%,0.41%,48.16%,100.00%,7.77%,29.32%,83.10%,39.13%,87.93%,20.88%,,,,,,,,,,
H4003,Medicare y Mucho Mßs,"MMM HEALTHCARE, INC.",46.15%,66.67%,91.84%,1.67%,5.62%,0.96%,31.76%,100.00%,16.70%,72.11%,88.93%,24.65%,66.89%,46.72%,,,,,,,,,,
H4004,"Preferred Medicare Choice, Inc.","PREFERRED MEDICARE CHOICE, INC.",33.33%,80.00%,95.07%,0.81%,6.68%,1.07%,34.34%,100.00%,18.95%,72.73%,89.80%,30.68%,73.12%,55.23%,,,,,,,,,,
H4005,"Triple-S Salud, Inc.","TRIPLE-S SALUD,  INC.",33.33%,0.00%,83.08%,0.83%,6.05%,0.38%,33.31%,100.00%,9.30%,17.02%,91.04%,22.15%,60.00%,11.00%,,,,,,,,,,
H4006,MCS Classicare,MCS ADVANTAGE INC.,0.00%,0.00%,87.73%,1.65%,4.41%,1.47%,28.52%,100.00%,13.57%,62.57%,81.63%,16.86%,58.27%,5.11%,,,,,,,,,,
H4007,Humana Health Plans Of Puerto Rico Inc,HUMANA HEALTH PLANS OF PUERTO RICO INC,Not measured,Not measured,58.08%,3.33%,5.31%,0.36%,35.06%,100.00%,30.91%,58.23%,73.05%,22.99%,61.70%,7.79%,,,,,,,,,,
H4008,"Humana Insurance Of Puerto Rico, Inc","HUMANA INSURANCE OF PUERTO RICO, INC",Not measured,Not measured,Not measured,3.33%,1.73%,0.00%,27.39%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4009,,,Not measured,Not measured,Not measured,Not measured,6.02%,1.00%,37.84%,Not measured,,,,,,,,,,,,,,,,
H4011,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.",0.00%,Not measured,96.40%,0.81%,5.65%,1.48%,25.82%,100.00%,7.12%,Not enough data available to calculate measure,82.53%,29.00%,77.42%,0.00%,,,,,,,,,,
H4012,"Triple-S Salud, Inc.","TRIPLE-S SALUD, INC.",0.00%,Not measured,68.67%,0.83%,6.52%,0.29%,38.15%,100.00%,47.91%,27.48%,91.04%,35.43%,73.03%,3.65%,,,,,,,,,,
H4036,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Not measured,100.00%,90.98%,0.00%,5.03%,0.00%,66.35%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4102,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.",100.00%,100.00%,93.62%,0.58%,7.21%,2.41%,62.96%,91.67%,8.59%,67.80%,85.29%,44.53%,90.74%,28.24%,,,,,,,,,,
H4106,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,3.33%,7.72%,1.08%,56.73%,91.67%,61.95%,55.88%,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,25.24%,,,,,,,,,,
H4125,Arcadian Health Plan,ARCADIAN HEALTH PLAN,Not measured,Not measured,94.03%,1.92%,9.47%,4.26%,52.50%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4141,"Humana Employers Health Plan of Georgia, Inc.","HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",100.00%,Not measured,90.45%,1.54%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4152,Blue Cross & Blue Shield of Rhode Island,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,72.41%,90.91%,86.70%,0.00%,7.85%,1.78%,62.28%,100.00%,15.74%,60.98%,55.76%,59.47%,81.34%,37.23%,,,,,,,,,,
H4155,JMH Health Plan,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,Not measured,Not measured,99.45%,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4205,Blue Cross Blue Shield of South Carolina,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,Not measured,Not measured,83.33%,0.00%,7.23%,1.08%,53.55%,100.00%,21.28%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H4209,Blue Cross Blue Shield of South Carolina,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,Not measured,Not measured,88.09%,0.00%,9.80%,1.22%,53.64%,100.00%,23.75%,Not enough data available to calculate measure,74.16%,Not enough data available to calculate measure,Not enough data available to calculate measure,2.65%,,,,,,,,,,
H4213,Arkansas Blue Cross - Medi-Pak Advantage,"ARKANSAS BCBS, A MUTUAL INSURANCE COMPANY",100.00%,Not measured,95.75%,2.50%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4270,UCare,"UCARE WISCONSIN, INC.",Not measured,Not measured,93.24%,0.00%,6.41%,3.41%,71.27%,100.00%,6.73%,Not enough data available to calculate measure,69.32%,Not enough data available to calculate measure,Not enough data available to calculate measure,50.85%,,,,,,,,,,
H4346,CareMore Health Plan of Nevada,CAREMORE HEALTH PLAN OF NEVADA,100.00%,Not measured,92.94%,9.44%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4406,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF TENNESSEE, INC.",Not measured,Not measured,95.45%,0.84%,8.85%,2.12%,54.51%,91.67%,20.69%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,24.77%,,,,,,,,,,
H4407,"Healthspring, Inc.","HEALTHSPRING OF TENNESSEE, INC.",Not measured,100.00%,96.70%,0.92%,9.26%,2.12%,50.20%,100.00%,14.86%,10.00%,82.22%,Not enough data available to calculate measure,Not enough data available to calculate measure,2.82%,,,,,,,,,,
H4408,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,Not measured,93.56%,1.48%,6.97%,1.67%,57.62%,100.00%,31.02%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,18.73%,,,,,,,,,,
H4449,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",Not measured,Not measured,98.25%,0.00%,6.32%,0.00%,55.79%,100.00%,17.16%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H4454,Healthspring,"HEALTHSPRING OF TENNESSEE, INC.",100.00%,88.89%,95.55%,0.92%,9.10%,1.93%,56.44%,100.00%,6.79%,48.88%,84.11%,44.83%,81.94%,3.00%,,,,,,,,,,
H4456,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",80.00%,100.00%,92.56%,0.63%,8.35%,2.25%,56.31%,91.67%,16.58%,61.86%,93.72%,54.24%,81.82%,21.53%,,,,,,,,,,
H4461,"Cariten Health Plan, Inc.",CARITEN HEALTH PLAN INC.,96.55%,100.00%,87.92%,0.83%,10.14%,2.35%,54.53%,100.00%,8.82%,58.19%,97.42%,40.21%,80.91%,24.82%,,,,,,,,,,
H4506,Universal American,"SELECTCARE OF TEXAS, L.L.C.",100.00%,100.00%,87.43%,0.00%,7.56%,1.95%,55.51%,100.00%,10.65%,56.80%,91.17%,56.59%,86.13%,30.17%,,,,,,,,,,
H4510,"HUMANA HEALTH PLAN OF TEXAS,INC.","HUMANA HEALTH PLAN OF TEXAS,INC.",88.89%,100.00%,90.88%,1.48%,6.55%,1.25%,50.43%,100.00%,8.35%,53.85%,97.42%,45.02%,81.05%,25.55%,,,,,,,,,,
H4513,HealthSpring,"TEXAS HEALTHSPRING,  LLC",100.00%,100.00%,91.52%,0.83%,8.91%,2.17%,50.41%,100.00%,18.10%,50.68%,80.22%,38.10%,83.33%,1.76%,,,,,,,,,,
H4514,Evercare« by UnitedHealthcare,"EVERCARE OF TEXAS, LLC",Not measured,100.00%,91.45%,1.18%,6.92%,1.99%,44.77%,91.67%,25.41%,72.51%,85.29%,41.03%,68.49%,36.34%,,,,,,,,,,
H4520,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,89.95%,1.48%,7.21%,1.51%,52.90%,100.00%,31.31%,67.14%,97.42%,42.70%,81.08%,32.12%,,,,,,,,,,
H4522,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,100.00%,96.31%,1.31%,6.42%,2.09%,48.70%,91.67%,17.45%,50.00%,85.29%,40.32%,Not enough data available to calculate measure,23.84%,,,,,,,,,,
H4523,Aetna Medicare,AETNA HEALTH INC.,100.00%,75.00%,Not measured,0.00%,6.38%,1.71%,50.18%,100.00%,25.69%,65.96%,72.28%,38.24%,Not enough data available to calculate measure,35.85%,,,,,,,,,,
H4524,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,100.00%,75.00%,Not measured,0.00%,8.80%,2.09%,55.89%,100.00%,22.05%,Not enough data available to calculate measure,72.28%,Not enough data available to calculate measure,Not enough data available to calculate measure,28.77%,,,,,,,,,,
H4525,FirstCare Advantage,"SHA, L.L.C",100.00%,100.00%,51.55%,2.50%,6.45%,2.13%,49.90%,100.00%,4.65%,Not enough data available to calculate measure,86.17%,Not enough data available to calculate measure,Not enough data available to calculate measure,30.41%,,,,,,,,,,
H4527,PHYSICIANS HEALTH CHOICE,PHYSICIANS HEALTH CHOICE OF TEXAS LLC,Not measured,Not measured,91.76%,0.92%,5.70%,1.65%,48.09%,100.00%,9.80%,35.04%,87.72%,43.37%,53.85%,1.18%,,,,,,,,,,
H4528,Bravo Health,"BRAVO HEALTH TEXAS, INC.",Not measured,66.67%,93.75%,0.00%,5.00%,0.99%,41.97%,100.00%,26.96%,37.08%,83.10%,45.07%,82.00%,27.38%,,,,,,,,,,
H4529,Texas Community Care,"ARCADIAN HEALTH PLAN, INC.",100.00%,Not measured,95.26%,2.17%,6.37%,1.57%,47.75%,100.00%,20.85%,48.78%,79.33%,43.48%,86.49%,12.41%,,,,,,,,,,
H4564,Scott and White Health Plan SeniorCare,SCOTT AND WHITE HEALTH PLAN,Not measured,Not measured,98.51%,Not measured,7.20%,1.68%,68.63%,100.00%,3.02%,Not enough data available to calculate measure,91.31%,55.00%,71.70%,63.66%,,,,,,,,,,
H4590,SecureHorizons by UnitedHealthcare,"PACIFICARE OF TEXAS, INC.",40.00%,100.00%,91.32%,1.41%,7.07%,1.49%,54.13%,91.67%,7.42%,55.39%,85.29%,49.67%,79.25%,51.16%,,,,,,,,,,
H4604,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF UTAH, INC.",0.00%,100.00%,88.06%,1.31%,8.22%,1.83%,54.99%,91.67%,10.52%,64.58%,85.29%,53.23%,66.67%,18.29%,,,,,,,,,,
H4605,Regence BlueCross BlueShield of Utah,REGENCE BLUECROSS BLUESHIELD OF UT,100.00%,50.00%,94.12%,0.00%,8.97%,1.55%,58.89%,100.00%,19.37%,68.42%,72.25%,55.91%,65.38%,0 - Plan reported a Biased Rate,,,,,,,,,,
H4606,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,50.00%,88.03%,1.62%,8.62%,1.22%,59.59%,100.00%,26.06%,70.69%,97.42%,56.41%,Not enough data available to calculate measure,27.49%,,,,,,,,,,
H4720,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,Not measured,Not measured,Not measured,Not measured,1.24%,3.31%,66.31%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4754,Clear One Health Plans,"CLEAR ONE HEALTH PLANS, INC.",Not measured,Not measured,95.74%,0.83%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4774,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,100.00%,Not measured,87.50%,1.54%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4779,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,10.10%,0.00%,67.07%,100.00%,,,,,,,,,,,,,,,,
H4836,Advantage Plan from Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,100.00%,Not measured,Not measured,Not measured,9.73%,1.68%,67.24%,100.00%,2.77%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H4837,UnitedHealthcare Community Plan,UNITEDHEALTHCARE OF WISCONSIN,Not measured,Not measured,93.93%,0.00%,0.00%,2.62%,47.31%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4875,Priority Health Medicare,PRIORITY HEALTH,Not measured,Not measured,84.19%,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H4908,Optima Medicare,OPTIMA HEALTH INSURANCE COMPANY,Not measured,Not measured,93.02%,0.00%,7.17%,1.71%,58.42%,100.00%,11.48%,76.92%,82.46%,Not enough data available to calculate measure,Not enough data available to calculate measure,1.19%,,,,,,,,,,
H4909,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF VIRGINIA, INC.",Not measured,Not measured,91.84%,0.83%,5.47%,1.34%,59.95%,100.00%,10.03%,Not enough data available to calculate measure,83.09%,Not enough data available to calculate measure,Not enough data available to calculate measure,42.13%,,,,,,,,,,
H4910,Aetna Medicare,AETNA HEALTH INC.,100.00%,Not measured,Not measured,0.00%,9.35%,0.00%,56.42%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4917,"Guardian Healthcare, Inc.","GUARDIAN HEALTHCARE,INC.",Not measured,Not measured,87.02%,0.00%,4.59%,2.21%,48.67%,100.00%,18.32%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H4956,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,Not measured,91.65%,1.48%,10.38%,0.53%,51.29%,100.00%,9.99%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H4971,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,96.15%,0.00%,3.17%,0.00%,60.95%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H4979,BlueCross BlueShield of Tennessee,BLUECROSS BLUESHIELD OF TENNESSEE,,,,,,,,Not measured,12.93%,Not enough data available to calculate measure,81.23%,Benefit not offered by plan ,Benefit not offered by plan ,3.33%,,,,,,,,,,
H5005,SecureHorizons by UnitedHealthcare,"PACIFICARE OF WASHINGTON, INC.",100.00%,Not measured,91.75%,1.90%,6.78%,1.15%,66.68%,91.67%,8.76%,73.33%,85.29%,62.80%,84.62%,29.63%,,,,,,,,,,
H5006,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,0.00%,100.00%,94.36%,0.93%,7.09%,1.63%,54.76%,100.00%,31.94%,54.19%,0 - Plan reported a Biased Rate,36.44%,43.48%,Plan not required to report measure,,,,,,,,,,
H5008,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,90.24%,1.75%,7.00%,1.57%,59.99%,91.67%,25.52%,Not enough data available to calculate measure,85.29%,55.32%,Not enough data available to calculate measure,29.17%,,,,,,,,,,
H5009,Regence BlueShield,REGENCE BLUESHIELD,100.00%,Not measured,95.08%,0.00%,7.24%,1.33%,66.86%,100.00%,27.57%,72.50%,72.25%,54.14%,85.71%,0 - Plan reported a Biased Rate,,,,,,,,,,
H5010,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,50.00%,100.00%,97.18%,0.00%,7.77%,2.76%,64.29%,100.00%,17.31%,Not enough data available to calculate measure,72.25%,Not enough data available to calculate measure,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,,,,,,,,,,
H5041,Humana Insurance Company,HUMANA INSURANCE COMPANY,75.00%,100.00%,91.45%,1.54%,5.35%,0.63%,60.52%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5042,CDPHP Medicare Choices,"CDPHP UNIVERSAL BENEFITS, INC.",Not measured,Not measured,93.56%,0.00%,6.46%,2.20%,68.06%,100.00%,12.24%,Not enough data available to calculate measure,83.74%,Not enough data available to calculate measure,Not enough data available to calculate measure,56.94%,,,,,,,,,,
H5050,Group Health Cooperative,GROUP HEALTH COOPERATIVE,100.00%,Not measured,93.18%,0.00%,4.94%,0.82%,77.13%,100.00%,2.37%,87.10%,78.30%,64.68%,87.56%,64.27%,,,,,,,,,,
H5087,Easy Choice Health Plan,EASY CHOICE HEALTH PLAN INC.,Not measured,100.00%,98.96%,0.00%,4.53%,1.16%,53.59%,100.00%,24.76%,Not enough data available to calculate measure,87.34%,Not enough data available to calculate measure,Not enough data available to calculate measure,4.68%,,,,,,,,,,
H5106,Highmark Health Insurance Company,HIGHMARK HEALTH INSURANCE COMPANY,100.00%,100.00%,92.67%,0.00%,9.50%,1.23%,60.80%,100.00%,8.68%,72.73%,87.66%,37.21%,78.57%,43.07%,,,,,,,,,,
H5151,The Health Plan,HEALTH PLAN OF THE UPPER OHIO VALLEY,0.00%,100.00%,85.50%,0.00%,9.06%,0.50%,62.07%,100.00%,5.24%,Not enough data available to calculate measure,95.28%,52.11%,Not enough data available to calculate measure,5.79%,,,,,,,,,,
H5162,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,Not measured,Not measured,Not measured,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
