CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Special Needs Plan (SNP) Care Management - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer used during Office Visits - DMC19,Computer use by Provider Helpful - DMC20,Computer use Made Talking to Provider Easier - DMC21,Breast Cancer Screening - DMC22,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Drug-Drug Interactions  - DMD03,Diabetes Medication Dosing - DMD04,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD05,MPF – Stability - DMD06,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD07,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD08,Getting Information from Drug Plan - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to fill prescriptions - DMD13,Reminders to take medications - DMD14,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07",Beneficiary Access and Performance Problems - DME08
H3156,AmeriHealth 65 Preferred HMO,"AMERIHEALTH HMO, INC.",Independence Blue Cross,Not enough data available,96%,Not enough data available,Not enough data available,91%,78%,Not enough data available,93%,69%,95%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,54%,50%,43%,77%,Not enough data available,48%,74%,100%,40.00%,8.1%,0.66%,100%,No data available,3.7%,No data available,No data available,No data available,13.3%,0.0%,33%,14%,96%,0.93,11,11,31,4,9,100
H3204,Presbyterian Senior Care (HMO),PRESBYTERIAN HEALTH PLAN,Presbyterian Healthcare Services,65%,91%,55%,93%,90%,85%,24%,89%,80%,95%,Plan not required to report measure,69%,78%,14%,1%,62%,30%,27%,96%,94%,54%,76%,100%,No data available,4.4%,1.74%,100%,100,7.5%,16.05%,No data available,93,100.0%,86.7%,27%,12%,95%,2.79,10,22,30,5,8,100
H3206,Presbyterian MediCare PPO,"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian Healthcare Services,Not enough data available,91%,65%,92%,88%,85%,24%,90%,83%,96%,Plan not required to report measure,54%,73%,23%,1%,58%,35%,24%,79%,Not enough data available,45%,76%,100%,No data available,5.4%,1.83%,100%,100,21.8%,23.81%,88%,93,53.3%,100.0%,29%,9%,94%,2.05,11,17,45,11,5,100
H3209,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,86%,41%,Not enough data available,88%,65%,Not enough data available,No data available,69%,94%,31.8%,Not enough data available,Not enough data available,24%,2%,62%,47%,45%,85%,Not enough data available,51%,57%,100%,No data available,4.8%,0.38%,96%,98,15.8%,25.78%,No data available,98,No data available,0.0%,49%,31%,No data available,4.23,25,27,13,11,22,80
H3233,Premier Health Plan,PREMIER HEALTH INSURING CORPORATION,Premier Health Partners,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3237,Health Net Cal MediConnect Medicare Medicaid Plan,"HEALTH NET COMMUNITY SOLUTIONS, INC.","Health Net, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3240,Amerigroup Community Care,"AMERIGROUP NEW JERSEY, INC.","WellPoint, Inc.",32%,86%,73%,Not enough data available,91%,64%,27%,92%,56%,93%,35.2%,63%,79%,34%,3%,62%,60%,49%,79%,93%,59%,60%,No data available,No data available,7.0%,0.40%,100%,98,13.6%,No data available,77%,99,0.0%,0.0%,47%,46%,No data available,CMS Found Issues with Plan's Data,15,28,1,6,8,80
H3251,Lovelace Medicare Plan provided by BCBSNM,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,67%,72%,46%,92%,91%,87%,28%,90%,77%,95%,Plan not required to report measure,64%,81%,25%,1%,53%,31%,31%,78%,Not enough data available,51%,74%,No data available,No data available,4.5%,0.22%,100%,98,36.7%,15.58%,No data available,98,0.0%,13.3%,24%,17%,94%,CMS Found Issues with Plan's Data,12,30,21,3,11,80
H3259,BlueCare Plus Tennessee,VOLUNTEER STATE HEALTH PLAN,BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H3283,Medica Health Plans,MEDICA HEALTH PLANS,Medica Holding Company,Not enough data available,58%,Not enough data available,Not enough data available,88%,No data available,Not enough data available,No data available,No data available,91%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,100%,No data available,Plan too small to be measured,No data available,No data available,95,No data available,0.0%,No data available,No data available,94%,No Data Available,No data available,No data available,No data available,No data available,No data available,80
H3305,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",86%,76%,60%,95%,94%,88%,35%,91%,83%,98%,Plan not required to report measure,74%,83%,47%,3%,50%,37%,33%,85%,94%,47%,79%,100%,No data available,6.3%,0.80%,96%,99,14.0%,15.70%,85%,96,6.7%,13.3%,25%,12%,95%,0.13,6,2,61,5,4,100
H3307,UnitedHealthcare,"OXFORD HEALTH PLANS (NY), INC.","UnitedHealth Group, Inc.",59%,86%,45%,89%,94%,81%,53%,No data available,59%,95%,No data available,73%,86%,45%,4%,57%,55%,38%,75%,Not enough data available,48%,67%,100%,100.00%,5.6%,0.99%,96%,98,11.3%,17.49%,85%,98,0.0%,0.0%,50%,22%,97%,5.57,14,42,18,10,10,80
H3312,Aetna Medicare,"AETNA HEALTH, INC. (NY)",Aetna Inc.,54%,89%,54%,95%,92%,83%,50%,91%,68%,96%,Plan not required to report measure,78%,85%,58%,5%,60%,53%,41%,79%,Not enough data available,53%,74%,100%,No data available,5.9%,0.54%,100%,97,35.5%,14.47%,83%,99,No data available,6.7%,40%,16%,98%,CMS Found Issues with Plan's Data,15,16,18,10,11,80
H3314,HIP Health Plan of Greater New York,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",Not enough data available,76%,Not enough data available,Not enough data available,65%,No data available,27%,No data available,No data available,91%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,100
H3327,Touchstone Health,"TOUCHSTONE HEALTH HMO, INC.","Touchstone Health Partnership, Inc",29%,94%,50%,87%,91%,70%,39%,91%,54%,90%,33.5%,Not enough data available,Not enough data available,41%,4%,60%,49%,47%,75%,Not enough data available,59%,62%,No data available,No data available,4.6%,0.29%,96%,98,0.5%,21.28%,75%,100,No data available,0.0%,50%,27%,98%,CMS Found Issues with Plan's Data,28,58,16,19,19,80
H3328,Fidelis Care,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.","The New York State Catholic Health Plan, Inc.",81%,71%,41%,94%,95%,72%,44%,91%,50%,95%,23.7%,76%,82%,49%,12%,66%,58%,55%,86%,94%,54%,73%,57%,100.00%,6.2%,0.38%,100%,99,CMS Found Issues with Plan's Data,25.00%,78%,99,0.0%,0.0%,57%,45%,95%,0.61,19,34,27,14,13,80
H3330,EmblemHealth Medicare HMO,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",57%,76%,78%,95%,94%,79%,54%,91%,66%,95%,CMS Found Issues with Plan’s Data,74%,87%,36%,3%,59%,49%,43%,83%,Not enough data available,65%,78%,63%,100.00%,4.9%,0.39%,96%,98,49.3%,16.29%,No data available,99,13.3%,73.3%,46%,30%,95%,0.30,23,39,24,12,11,80
H3333,Universal American Corp.,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Not enough data available,83%,Not enough data available,Not enough data available,90%,64%,21%,90%,74%,95%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,56%,49%,40%,80%,Not enough data available,48%,64%,100%,100.00%,5.6%,0.00%,100%,97,31.6%,No data available,No data available,98,No data available,0.0%,39%,20%,100%,CMS Found Issues with Plan's Data,9,11,36,5,2,100
H3335,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",73%,50%,52%,94%,92%,87%,38%,91%,75%,97%,Plan not required to report measure,74%,82%,43%,4%,63%,37%,37%,83%,Not enough data available,44%,78%,50%,100.00%,5.7%,0.64%,88%,99,8.3%,17.50%,84%,98,0.0%,0.0%,29%,10%,97%,CMS Found Issues with Plan's Data,10,10,27,6,6,80
H3337,Liberty Health Advantage,"LIBERTY HEALTH ADVANTAGE, INC.","Liberty Health Advantage, Inc.",22%,88%,41%,Not enough data available,89%,63%,42%,No data available,52%,87%,31.0%,Not enough data available,Not enough data available,41%,3%,62%,51%,44%,74%,Not enough data available,63%,66%,No data available,No data available,2.8%,0.19%,100%,98,1.5%,9.09%,No data available,100,No data available,0.0%,46%,26%,99%,3.12,23,32,20,22,17,100
H3342,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE ASSURANCE, INC.","WellPoint, Inc.",63%,86%,55%,89%,94%,83%,58%,91%,61%,96%,Plan not required to report measure,73%,79%,45%,5%,57%,48%,37%,67%,Not enough data available,46%,69%,93%,100.00%,5.3%,0.66%,100%,98,11.6%,14.29%,78%,98,0.0%,13.3%,44%,16%,97%,CMS Found Issues with Plan's Data,11,10,39,8,7,80
H3344,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,"Independent Health Association, Inc.",Not enough data available,84%,69%,Not enough data available,94%,87%,48%,90%,76%,97%,Plan not required to report measure,Not enough data available,Not enough data available,39%,3%,58%,39%,32%,81%,Not enough data available,43%,77%,No data available,No data available,6.7%,0.00%,96%,98,18.7%,18.18%,90%,98,No data available,No data available,31%,11%,No data available,6.16,2,2,37,2,1,80
H3347,Elderplan,"ELDERPLAN, INC.","Elderplan, Inc.",40%,73%,46%,94%,92%,71%,45%,90%,56%,92%,85.2%,68%,77%,51%,4%,57%,62%,48%,78%,Not enough data available,58%,63%,No data available,No data available,4.5%,0.47%,100%,98,31.5%,20.25%,74%,95,0.0%,6.7%,44%,37%,98%,CMS Found Issues with Plan's Data,16,24,34,14,14,100
H3351,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",74%,50%,56%,92%,93%,84%,36%,91%,80%,98%,Plan not required to report measure,79%,83%,46%,5%,59%,37%,32%,84%,Not enough data available,39%,79%,100%,80.00%,6.1%,0.65%,88%,99,7.6%,13.31%,No data available,98,0.0%,6.7%,25%,9%,97%,CMS Found Issues with Plan's Data,13,3,42,9,8,100
H3359,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.","Healthfirst, Inc.",81%,85%,41%,91%,95%,69%,47%,No data available,58%,96%,CMS Found Issues with Plan’s Data,71%,91%,45%,6%,73%,72%,55%,90%,95%,62%,81%,100%,100.00%,4.8%,0.73%,100%,100,24.8%,17.48%,No data available,98,0.0%,13.3%,48%,54%,99%,CMS Found Issues with Plan's Data,21,25,22,16,17,80
H3361,WellCare,"WELLCARE OF NEW YORK, INC.","WellCare Health Plans, Inc.",55%,83%,43%,81%,93%,70%,42%,No data available,55%,93%,CMS Found Issues with Plan’s Data,76%,85%,36%,7%,62%,61%,51%,85%,Not enough data available,64%,68%,85%,93.33%,4.8%,0.05%,96%,99,9.0%,12.12%,76%,98,No data available,No data available,48%,52%,98%,5.06,32,30,18,24,23,20
H3362,Independent Health,"INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health Association, Inc.",72%,84%,53%,96%,94%,86%,46%,90%,76%,97%,62.8%,80%,82%,37%,4%,55%,39%,35%,80%,Not enough data available,45%,77%,100%,100.00%,6.9%,0.19%,100%,99,23.2%,12.23%,85%,98,No data available,No data available,30%,13%,95%,4.97,8,9,35,4,5,80
H3370,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE HMO, INC.","WellPoint, Inc.",59%,86%,50%,91%,89%,81%,54%,91%,68%,96%,Plan not required to report measure,72%,83%,49%,4%,52%,50%,39%,70%,Not enough data available,47%,68%,92%,100.00%,6.0%,0.59%,100%,98,11.1%,18.59%,74%,98,0.0%,13.3%,43%,19%,96%,CMS Found Issues with Plan's Data,16,13,41,9,12,100
